Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.928351879119873	-21.61603	23.626572	14.586351	-57.421535	79.90909	946.803	0.0	946.803	946.803	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.677895	30.504007	-0.41717204	-114.36271	-80.93768	29.9655	0.44540393	-121.175285	0.22996822	0.4936463	1.687227	-1.2790262	81.16765	29.96036	121.63106	0.16553342	81.16765	29.96036	121.63106	0.16553342	0.985565	0.11298849	1.1392074	0.016553342	7485.8105	4063.8489	14794.114	0.027401313	81.341705	30.115875	122.08855	0.0027401312
1	1999	6.792269706726074	-12.614629	26.70262	15.000877	-67.75627	69.0	946.803	0.0	946.803	946.803	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.677895	30.504007	-0.41717204	-114.36271	-80.93768	29.9655	0.44540393	-121.175285	0.22996822	0.4936463	1.687227	-1.2790262	81.16765	29.96036	121.63106	0.16553342	81.16765	29.96036	121.63106	0.16553342	0.985565	0.11298849	1.1392074	0.016553342	7485.8105	4063.8489	14794.114	0.027401313	81.341705	30.115875	122.08855	0.0027401312
2	2999	8.579883575439453	-89.4283	131.86444	10.542188	-344.28552	260.2	964.52423	0.0	964.52423	964.52423	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-46.918118	31.117079	12.852042	-114.51923	-46.182507	30.108538	13.579098	-115.66354	0.23517795	0.4887675	1.5923007	-1.0904028	46.417683	30.123821	115.822975	-13.270852	46.821598	29.492098	115.822975	0.020207176	0.8864821	0.34152907	1.0755657	-1.0598235	3062.0457	2900.096	13414.961	0.00040833	46.753326	29.95914	115.98263	4.0832998e-05
3	3999	11.45677399635315	-170.65002	165.97827	-4.6717515	-336.6283	527.0	965.3317	0.0	965.3317	965.3317	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-78.529305	35.927624	1.8462647	-113.863205	-79.25256	34.617424	0.64037555	-121.713646	0.22468816	0.49248764	1.6884072	-1.171166	79.47725	34.59486	122.242966	-0.7174875	79.48103	34.586147	122.242966	0.26009804	0.96836334	0.16131982	1.1202606	-0.07174875	7513.4365	4419.9194	14943.343	0.067650996	79.606544	34.796825	122.77458	0.0067650992
4	4999	13.713047742843628	-112.371796	136.17542	-28.272493	-348.04483	296.75	964.668	0.0	964.668	964.668	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-59.68979	40.934086	4.335094	-119.61462	-58.51643	39.84715	6.238676	-119.409195	0.21173093	0.49043557	1.6296556	-1.3787148	58.728157	39.860184	119.94788	-6.872819	58.855774	39.671513	119.94788	0.016182058	0.9148573	0.26974466	1.107256	-0.6872819	5037.831	4761.7617	14387.495	0.00026185898	58.825466	40.030605	121.20058	2.6185899e-05
5	5999	114.72337651252747	-385.42737	0.0	-385.42737	-385.42737	1000.0	806.904	0.0	806.904	806.904	1000.0	145.77725	67.147995	238.98819	-11.813338	4.7969565	-5.0295463	1.0879965	18.242882	-13.621223	-151.03307	0.86220753	0.07476449	0.99970007	0.73966014	-1.3691765	0.6916889	0.5342735	17.87938	7.376075e-07	-27.84557	11.409394	0.7891213	-54.44259	55.85788	25.861423	99.25721	-9.804262	231.88155	4.422776	239.57968	198.28969	176.02365	25.387014	242.19635	104.47307	176.02365	25.387014	242.19635	104.47307	5.42313	6.537017	24.219635	1.0894998	31628.83	9571.315	58659.07	10914.622	1102.6139	1550.4519	5865.9067	113.82339
6	6999	216.50301694869995	-15.574721	0.0	-15.574721	-15.574721	152.0	715.64026	0.0	715.64026	715.64026	1000.0	246.01804	18.751842	263.668	-14.087501	3.924139	-4.888991	1.3678001	19.372084	-13.2494135	-250.5685	0.63973	0.054824747	0.73943937	0.54946387	-3.9976401	0.65646374	0.5022449	5.2100773	1.4901161e-07	-11.784941	15.4618635	26.824553	-35.516407	62.722466	26.33911	98.596596	-18.741293	245.51132	4.875114	254.3948	207.89438	182.78886	26.276518	270.42172	133.2923	182.78886	26.276518	270.42172	133.2923	4.8946166	6.102502	25.067747	1.5209684	34102.227	10461.178	73127.914	17766.836	1034.2517	1513.1261	6283.9194	224.33923
7	7999	318.2606563568115	-140.73389	113.89828	-26.835604	-254.63216	558.5	378.56012	0.0	378.56012	378.56012	1000.0	223.1044	20.340752	257.37277	-12.802655	2.4387958	-4.723119	1.5546066	24.526442	-13.950698	-226.71541	0.47550684	0.04055379	0.5493005	0.40884796	-6.5079546	0.627244	0.4832618	4.731803	9.23872e-07	-18.433975	15.352591	13.440553	-56.595966	56.338154	23.498953	96.42418	-5.231227	203.09996	6.072743	218.13956	187.61205	146.76181	25.72459	215.82904	106.8272	146.76181	25.72459	215.82904	106.8272	4.3617163	5.400653	21.582905	1.1602961	22200.783	8118.015	46582.176	11412.051	757.6097	1123.836	4658.218	129.168
8	8999	420.0021758079529	-104.95709	81.42778	-6.7594075	-206.14851	548.0	531.6809	0.0	531.6809	531.6809	1000.0	173.08913	20.169365	220.82536	-10.445224	2.2492595	-4.371516	1.8081628	25.077747	-13.907516	-175.86772	0.35458887	0.029746838	0.4087284	0.30579376	-8.695583	0.60177344	0.46907485	5.3640003	6.183982e-07	6.8823347	12.528028	37.29266	-28.20616	60.654633	25.540346	102.75085	-6.5122833	154.92795	8.618318	168.79793	77.35467	94.27331	24.8904	161.40454	36.10976	94.27331	24.8904	161.40454	36.10976	2.740754	3.542234	16.140453	0.35263827	9506.989	5057.963	26051.426	1303.9149	327.74268	521.25464	2605.1426	12.733684
9	9999	521.0958099365234	4.010965	30.632673	29.689528	-39.0442	186.0	732.89966	0.0	732.89966	732.89966	1000.0	124.102936	17.122168	172.63593	-10.626268	2.0140374	-3.8498242	2.1121268	25.088177	-13.740604	-126.35964	0.26604828	0.021830056	0.3057058	0.23009795	-10.40641	0.5824335	0.45936745	6.7650027	8.34465e-07	10.498261	22.062418	59.8299	-31.446867	62.85221	21.688204	99.5946	-0.8690205	115.69557	10.506124	135.43954	83.1853	52.843376	25.062283	125.18251	9.307917	52.843376	25.062283	125.18251	9.307917	1.4588796	2.2716522	12.518251	0.111863546	3420.5403	3275.4976	15670.661	86.63731	123.03639	263.29437	1567.0662	1.0412165
