Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.073561191558838	19.052065	15.706	83.04234	5.1059	22.522728	71.61605	0.0	71.61605	71.61605	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1227865	16.06823	70.39515	-2.7498553	18.792711	18.579624	83.68721	-0.8078958	0.065055974	0.36160046	1.4683752	-0.7178687	-18.727657	18.610268	1.1700519	-83.663414	18.75859	18.579086	83.663414	0.03828054	-0.75443244	0.34432992	0.11700519	-1.0485308	697.06714	1254.1727	6999.5664	0.0014653996	18.045914	19.123545	83.63962	0.00014653995
1	1999	2.8814330101013184	18.730679	15.602331	83.04234	5.1059	22.222221	71.61605	0.0	71.61605	71.61605	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1227865	16.06823	70.39515	-2.7498553	18.792711	18.579624	83.68721	-0.8078958	0.065055974	0.36160046	1.4683752	-0.7178687	-18.727657	18.610268	1.1700519	-83.663414	18.75859	18.579086	83.663414	0.03828054	-0.75443244	0.34432992	0.11700519	-1.0485308	697.06714	1254.1727	6999.5664	0.0014653996	18.045914	19.123545	83.63962	0.00014653995
2	2999	3.7063357830047607	14.880216	10.057022	61.04082	6.0590525	19.9	74.586235	0.0	74.586235	74.586235	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.239277	26.06246	80.74299	-1.6854705	29.11034	30.490704	99.10748	-0.5458871	0.04839647	0.34755203	1.2167604	-0.6985291	-29.061945	30.568527	0.6250514	-99.048515	29.074823	30.556276	99.048515	0.010389	-0.77915525	0.3345339	0.06250513	-1.0412264	1779.0315	2825.9185	9810.609	0.00010793133	28.469452	31.092224	99.048065	1.0793133e-05
3	3999	4.525926113128662	17.850042	17.819202	90.71151	4.7930055	21.733334	69.04888	0.0	69.04888	69.04888	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.482622	19.888329	91.96498	-1.0409228	24.538673	23.512678	109.98454	-0.29974946	0.030671157	0.3388762	1.305283	-0.71742606	-24.508001	23.551907	0.34940737	-109.89702	24.509777	23.550058	109.89702	0.014726273	-0.8101433	0.31106618	0.034940735	-1.0510138	1155.3346	2117.976	12077.355	0.0002168631	23.942463	24.05625	110.250626	2.168631e-05
4	4999	5.342428922653198	18.229647	11.426507	58.095108	6.4634733	22.326086	70.97729	0.0	70.97729	70.97729	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.211683	12.395972	50.646065	-3.2982519	15.760113	15.145433	66.32351	-1.5898092	0.052815113	0.33668655	1.2213264	-0.8713399	-15.707298	15.241415	1.9201996	-66.53166	15.765953	15.180735	66.53166	0.0065588593	-0.72042274	0.36728084	0.19201997	-1.0351815	479.01993	817.1771	4426.462	4.3018634e-05	15.057634	15.7829685	66.74047	4.301863e-06
5	5999	99.52210807800293	161.06683	130.93222	376.05365	11.223851	85.181816	160.53995	0.0	160.53995	160.53995	90.0	93.584724	52.98586	182.59233	-13.997186	5.4936686	-0.7822962	1.8777016	12.929234	-10.390819	-100.07656	0.88198686	0.06385889	0.99970007	0.7758168	-0.20667057	0.8424023	0.61445904	4.6858954	2.7939677e-07	77.53853	36.82542	143.23088	2.0616736	87.30035	42.05288	164.92496	2.0616736	173.0754	13.946357	181.99655	33.636578	85.77503	39.23641	175.77586	12.185625	85.77503	39.23641	175.77586	12.185625	2.2399013	3.5605552	17.577585	0.074921876	8896.851	7575.3447	30897.152	148.48946	298.10547	590.8806	3089.7153	0.9129699
6	6999	193.40027165412903	232.21582	88.53057	353.60437	53.433495	113.0	251.01952	0.0	251.01952	251.01952	121.0	186.86908	52.311646	232.98746	-20.79601	8.5532875	-0.2714201	2.310717	15.803059	-10.779354	-196.81635	0.68853396	0.048716087	0.7756222	0.60639226	-0.47390038	0.89068115	0.6563504	5.0359097	1.9073486e-06	96.73396	44.189713	157.90005	2.0626342	103.59652	48.023342	172.3446	2.0626342	189.56392	54.069878	232.99657	5.3788724	85.9674	30.00137	207.53198	1.4078313	85.9674	30.00137	207.53198	1.4078313	1.2935244	1.8513746	20.506378	0.12432641	8290.477	6083.995	43069.523	1.9819889	137.80013	340.74667	4205.115	0.19819888
7	7999	284.4882175922394	305.08844	50.722713	365.5884	213.83846	149.28572	330.55698	0.0	330.55698	330.55698	154.0	199.4781	57.263058	234.42867	-15.22503	5.824752	-0.18766147	2.3853042	19.84358	-9.929153	-208.7415	0.53158265	0.041261084	0.6062313	0.46495456	-0.7488431	0.8778711	0.6594525	5.8042345	3.5315752e-06	117.296265	42.872955	163.1708	3.0116832	121.91715	48.240124	178.38403	3.0116832	157.34317	69.24671	231.77682	6.8555155	35.425995	22.664011	68.42256	-29.061296	36.660492	20.607449	68.42256	0.05804266	0.26234972	0.18083788	1.5035856	-0.3398424	1768.6587	1338.5099	4681.647	0.0033689504	11.981241	7.97277	31.955452	0.00012874215
8	8999	377.3851537704468	358.7396	27.00478	392.56647	313.47464	186.4	341.62424	0.0	341.62424	341.62424	162.0	187.24774	54.19484	231.5284	-17.06167	4.235534	-0.09942292	2.5003898	21.771196	-10.968569	-195.03249	0.4091764	0.032470193	0.4648537	0.3531472	-0.9914036	0.8962985	0.68280536	6.22077	1.1920929e-06	115.75536	43.437965	166.93109	2.9154143	126.22143	49.91854	187.64845	2.9154143	150.00056	59.239304	213.48721	9.488068	23.779118	11.725856	40.353374	-6.674343	23.87852	11.522085	40.353374	0.17918947	0.21800244	0.17794032	1.7942581	-0.07430928	702.94214	490.32904	1628.3949	0.03210887	5.3530817	3.5060227	32.19362	0.0003774745
9	9999	471.268075466156	352.13513	44.221886	390.92902	260.97476	179.66667	1056.5356	0.0	1056.5356	1056.5356	1000.0	166.344	50.853928	213.22418	-27.89508	2.3142197	-0.27694008	2.4900582	24.916866	-9.742203	-172.62148	0.3038288	0.027752493	0.35303953	0.25746885	-1.5332272	0.86448073	0.66978085	5.6395364	4.0084124e-06	94.77603	40.879772	162.95877	1.226713	105.31215	45.413418	184.3225	1.226713	150.18489	28.289206	186.28447	16.532516	44.872738	38.1823	148.87791	-16.270294	45.587486	37.326027	148.87791	0.010351257	1.1334547	2.5026357	14.887793	-0.11579782	3471.451	4820.7754	22164.635	0.00010714854	121.28158	347.55893	2216.4636	5.9233275e-07
