Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.605114221572876	119.14697	33.5297	229.89003	83.28867	23.780487	71.80368	0.0	71.80368	71.80368	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.566067	19.661583	90.912224	3.959991	-272.47714	170.41013	4.8003426	-716.52484	0.17177674	0.5057709	1.9009566	-1.3633505	272.64893	170.52325	717.63666	-5.1600447	273.21423	169.61604	717.63666	3.21555	0.9067362	0.35489342	1.0207596	-0.51600444	103415.61	99663.85	515002.4	10.339762	273.2169	170.00157	718.75024	1.0339762
1	1999	5.8503828048706055	123.652756	40.749718	248.68694	83.21944	24.75	71.80368	0.0	71.80368	71.80368	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.566067	19.661583	90.912224	3.959991	-272.47714	170.41013	4.8003426	-716.52484	0.17177674	0.5057709	1.9009566	-1.3633505	272.64893	170.52325	717.63666	-5.1600447	273.21423	169.61604	717.63666	3.21555	0.9067362	0.35489342	1.0207596	-0.51600444	103415.61	99663.85	515002.4	10.339762	273.2169	170.00157	718.75024	1.0339762
2	2999	8.083432912826538	126.48775	45.461918	278.80838	78.555916	25.243902	71.28319	0.0	71.28319	71.28319	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.011227	20.657772	93.43622	3.9877746	-288.84338	180.49442	4.7554727	-762.0061	0.15200716	0.50697047	1.9956921	-1.2424842	288.9954	180.62648	764.00183	-5.232308	289.5215	179.782	764.00183	3.391406	0.91214323	0.3437561	1.0260099	-0.5232308	116144.27	112827.24	583698.8	11.501636	289.51614	180.16777	766.00275	1.1501635
3	3999	10.281183004379272	124.16575	37.868557	246.1903	83.31418	24.575	70.93235	0.0	70.93235	70.93235	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.39734	21.023651	103.39208	3.879356	-294.04932	183.9396	4.767429	-807.2922	0.15738559	0.49995878	1.7889767	-1.4082097	294.2067	184.05292	807.68896	-5.132191	294.7124	183.24205	807.68896	3.1716468	0.9146786	0.33866414	1.0246321	-0.5132191	120433.07	117480.56	652361.5	10.059344	294.7156	183.6037	808.086	1.0059344
4	4999	12.484031438827515	115.271675	30.701187	187.41707	83.32567	22.931818	71.81425	0.0	71.81425	71.81425	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.062195	20.728617	93.433586	4.0027256	-289.8941	181.94472	4.7608113	-734.23126	0.1619908	0.49782637	1.5731093	-1.3351638	290.05606	182.0671	735.5168	-5.594436	290.58554	181.22083	735.5168	3.1940756	0.91238993	0.34433907	1.0228071	-0.55944365	117280.945	115083.02	540985.0	10.202118	290.5941	181.58936	736.8046	1.0202118
5	5999	142.64663314819336	236.46266	103.95529	423.94174	88.018585	45.190475	367.88834	0.0	367.88834	367.88834	68.0	256.6151	215.54611	632.99457	-48.185143	246.50519	-3.9068985	15.163072	236.45564	-19.400515	-273.62708	0.95501256	0.041902713	1.0130594	0.8798387	-0.39433613	0.9551334	1.1153697	35.546223	3.1292439e-07	139.95465	73.157265	302.2123	3.5162492	186.50752	100.48589	412.87915	3.5162492	434.29984	209.35284	632.8783	11.588022	247.79231	157.93677	573.14	-53.60299	250.83658	153.05571	573.14	0.14949748	2.114873	4.612076	57.314	-0.58867157	86345.05	74349.48	328489.47	0.022349497	821.69244	2385.244	32848.945	0.00027609774
6	6999	271.3041274547577	359.04785	103.339226	557.24615	177.94168	70.6	456.5912	0.0	456.5912	456.5912	98.0	412.02954	235.76125	668.9845	-16.315031	346.16675	-4.2058964	6.9619946	32.073463	-21.639336	-439.77414	0.80623853	0.043611377	0.879688	0.72625	-1.3510551	0.88859636	0.6653244	5.663542	1.4901161e-07	144.09471	76.6308	303.95792	3.4756896	187.45432	100.849724	397.69492	3.4756896	492.7341	140.21623	621.90857	7.3093925	305.27985	91.86583	506.62534	-5.6450396	305.29813	91.804985	506.62534	0.54180104	2.7799947	3.2961102	30.854836	-0.3017523	101635.11	49411.234	256669.22	0.29354838	869.83704	1015.30396	9520.208	0.0057423813
7	7999	400.5025770664215	404.89365	106.91965	660.31915	278.605	83.0	314.42465	0.0	314.42465	314.42465	58.0	333.5758	206.91228	632.5754	-10.787561	211.94922	-4.6865396	5.2154493	23.864891	-20.297276	-355.17776	0.64115053	0.04808669	0.7260703	0.55950576	-2.9911714	0.8579778	0.65183294	6.293528	1.5795231e-06	157.37111	81.5635	335.24146	3.2714882	207.91199	108.70441	447.95398	3.2714882	300.0296	163.3327	523.09625	10.317345	92.1176	82.42385	298.79742	-117.00003	96.626564	77.088585	298.79742	0.02235912	0.5191044	0.7709847	12.166901	-0.5903582	15279.344	18280.836	89279.9	0.00049993023	75.33509	118.032715	1480.3347	8.508721e-06
8	8999	529.6718378067017	365.5936	39.26867	446.28558	303.33002	69.64286	436.84387	0.0	436.84387	436.84387	82.0	258.60504	145.01439	526.87476	-5.046267	101.16919	-5.323698	5.3667755	28.59901	-22.284378	-273.09753	0.48304474	0.042114876	0.559343	0.4142435	-5.35358	0.837819	0.6344223	5.3367076	8.940697e-08	174.46452	87.58759	345.84573	3.545107	231.85562	119.34966	469.29172	3.545107	245.24184	118.18697	411.61786	3.367757	13.386214	43.73642	133.58038	-112.51863	34.0822	30.50359	133.58038	0.049540732	0.09815962	0.25954637	2.130856	-0.74657595	2092.0652	3201.1516	17843.717	0.002454284	9.375767	15.130446	121.54303	6.193231e-06
9	9999	659.1617593765259	452.53436	95.5041	600.2183	297.9954	95.3	440.31015	0.0	440.31015	440.31015	82.0	226.77356	123.974594	415.44012	-4.345839	67.6057	-4.622332	5.604819	28.426403	-23.38014	-238.13525	0.36063823	0.029073087	0.41412002	0.31325626	-6.7501864	0.8461074	0.6410658	5.0757594	4.7683716e-07	180.36322	87.89579	337.85443	3.7871265	228.43762	117.26933	450.55273	3.7871265	244.69063	110.06913	371.91394	4.0581775	16.253008	53.093323	167.1448	-118.98121	42.77524	35.402542	167.1448	0.021083038	0.16044275	0.4997516	5.528648	-0.8759251	3083.0613	4541.292	27937.387	0.00044449454	19.379675	48.0311	777.98126	1.2543966e-06
