Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	1.9820606708526611	2.0763707	5.958474	26.176203	-14.329904	19.96	3.9417746	0.0	3.9417746	3.9417746	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.8147683	3.3902252	1.2085879	-14.655525	-10.612744	5.7418838	1.9600132	-23.157682	-1.0495733	0.4160692	0.13478887	-2.4143543	9.56317	5.724564	22.161112	-3.0798059	9.630922	5.60983	22.161112	0.0048158676	0.7023672	0.31746313	1.0076092	-0.3079806	124.22488	114.80755	491.1149	2.3192582e-05	8.318619	5.88324	21.465414	2.319258e-06
1	1999	2.799431085586548	1.7661738	5.782872	24.98278	-13.681218	19.607843	3.9417746	0.0	3.9417746	3.9417746	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.8147683	3.3902252	1.2085879	-14.655525	-10.612744	5.7418838	1.9600132	-23.157682	-1.0495733	0.4160692	0.13478887	-2.4143543	9.56317	5.724564	22.161112	-3.0798059	9.630922	5.60983	22.161112	0.0048158676	0.7023672	0.31746313	1.0076092	-0.3079806	124.22488	114.80755	491.1149	2.3192582e-05	8.318619	5.88324	21.465414	2.319258e-06
2	2999	3.609592914581299	1.1978166	5.5224576	11.966311	-10.188603	20.367348	2.9966075	0.0	2.9966075	2.9966075	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.705337	3.7641277	7.3036394	-18.427986	-10.388601	6.4417887	0.11489006	-31.699858	-1.0507773	0.42321703	0.15327756	-2.5953822	9.337824	6.4269695	31.443214	-1.4418343	9.371854	6.377245	31.443214	0.012792585	0.6745465	0.31153503	1.0085607	-0.14418343	128.50089	156.65108	988.67566	0.00016365024	7.9649434	6.6514025	31.188648	1.6365024e-05
3	3999	4.423752069473267	1.773248	6.9743433	31.663977	-12.373036	22.11111	0.19004095	0.0	0.19004095	0.19004095	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.8415785	3.3395534	3.5285711	-13.676043	-9.171535	5.480421	1.3073952	-28.276592	-1.0381554	0.40386552	-0.030567586	-2.7209759	8.13338	5.452508	27.537006	-2.412065	8.218306	5.323641	27.537006	0.007009905	0.64303493	0.33614406	0.99784076	-0.24120651	95.88171	107.542786	758.2867	4.9138765e-05	6.856204	5.5441365	26.816763	4.9138766e-06
4	4999	5.2381792068481445	1.2073957	5.694479	27.891165	-6.2427845	18.73585	3.0274754	0.0	3.0274754	3.0274754	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.239348	3.5783997	5.643338	-16.091806	-9.912854	5.7473326	0.0993258	-25.414068	-1.0536249	0.4299882	0.2005416	-2.4029274	8.859229	5.7256413	24.43165	-1.5487983	8.89932	5.6631293	24.43165	0.027630413	0.66837037	0.32308325	0.9955819	-0.15487984	111.26891	116.55298	596.9055	0.00076343975	7.547852	5.908169	23.487207	7.6343975e-05
5	5999	100.86178183555603	9.451542	22.8765	54.04723	-33.68704	99.111115	309.2449	0.0	309.2449	309.2449	179.0	101.707344	64.35549	201.85106	-16.368816	15.065907	-1.9073621	2.776302	22.54121	-13.49017	-111.11075	0.8721656	0.06811029	1.0003	0.76219374	-0.6385849	0.81932145	0.61197543	16.04908	3.3080578e-06	69.87017	55.801357	134.26869	-30.511438	99.74899	66.805626	181.77907	-18.244255	186.66432	40.1526	203.57443	-10.738333	86.91531	57.46199	199.71211	-7.996642	86.95088	57.408146	199.71211	1.5679777	3.2936225	5.3646226	19.971212	-0.79966426	10856.151	11952.791	39884.93	2.458554	530.7862	993.45496	3988.493	0.24585542
6	6999	196.9640896320343	60.40107	68.395515	194.29015	3.4219313	199.6	29.659592	0.0	29.659592	29.659592	151.0	177.25204	64.936775	225.9304	-31.359959	20.77981	-1.0112745	3.7719831	30.05221	-12.774393	-189.50401	0.6694158	0.052016746	0.7619954	0.581294	-1.6214478	0.8622688	0.65423405	5.574659	1.1324883e-06	82.34722	40.461994	127.744644	-19.918018	121.011	53.26099	176.6414	-15.35572	213.28209	31.425753	229.00952	-18.19928	92.271095	46.334385	223.59863	-13.792017	92.3751	46.126686	223.59863	6.6652327	1.9694698	3.9777384	22.359863	-1.3792018	10660.83	10954.757	49996.35	44.425327	315.50995	799.76953	4999.635	4.442533
7	7999	292.9672198295593	87.81004	49.053406	168.71976	34.78691	205.2	36.152565	0.0	36.152565	36.152565	142.0	171.80695	63.071457	225.21959	-40.244312	14.847767	-1.0643357	3.8771589	29.55371	-14.723003	-181.8359	0.5033178	0.04193523	0.58112055	0.43509564	-2.7888525	0.82615143	0.65005744	7.8106236	7.4505806e-07	93.96577	42.17722	143.46718	-8.884648	123.85618	53.12259	184.69948	-3.838832	186.61336	31.915962	200.92068	-7.745455	62.757187	46.3157	194.20122	-7.3518333	62.78843	46.273342	194.20122	1.0724785	1.3284332	2.756694	19.420122	-0.73518336	6083.609	8245.542	37714.113	1.1502103	174.17072	487.5162	3771.4114	0.11502102
8	8999	389.5180780887604	96.63854	0.0	96.63854	96.63854	223.0	106.36956	0.0	106.36956	106.36956	209.0	140.15729	54.076	200.14964	-38.798637	9.155623	-0.72401625	3.7792747	29.755978	-14.774172	-147.9381	0.3794356	0.030731458	0.4349774	0.32842603	-3.6165729	0.83810425	0.66348094	8.01958	4.61936e-07	67.831406	39.434944	130.42552	-11.792349	104.963234	53.038364	167.46693	-9.184973	151.30202	24.427528	168.20694	1.4876478	46.338787	40.887928	162.57393	-13.098828	46.81594	40.34073	162.57393	0.041223414	1.5814168	3.076024	16.257393	-0.080383666	3819.1062	5042.6084	26430.281	0.00169937	165.09048	379.1435	2643.028	1.042658e-05
9	9999	485.8593075275421	343.35474	256.09433	736.8136	31.672411	423.75	14.315344	0.0	14.315344	14.315344	96.0	123.94286	44.584846	170.00052	-29.929007	5.9586167	-0.6319174	3.859879	29.832273	-14.322129	-130.07465	0.28532574	0.023682762	0.32833615	0.24640834	-4.561759	0.8349589	0.6675676	8.6275215	6.556511e-07	65.03238	36.317802	122.43149	-13.356554	92.5659	46.952526	164.54204	-13.802626	135.49681	12.253717	147.50221	18.743473	42.930893	42.489594	143.45844	-26.175758	46.482906	38.57158	143.45844	0.045981422	1.8434442	3.6439035	14.345844	-0.1614096	3648.4277	5159.8726	20580.324	0.002114291	204.50853	463.59064	2058.0325	1.4946217e-05
