Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	3.8021364212036133	-21.61603	23.626572	14.586351	-57.421535	79.90909	946.803	0.0	946.803	946.803	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-81.677895	30.504007	-0.41717204	-114.36271	-80.93768	29.9655	0.44540393	-121.175285	0.22996822	0.4936463	1.687227	-1.2790262	81.16765	29.96036	121.63106	0.16553342	81.16765	29.96036	121.63106	0.16553342	0.985565	0.11298849	1.1392074	0.016553342	7485.8105	4063.8489	14794.114	0.027401313	81.341705	30.115875	122.08855	0.0027401312
1	1999	6.618273019790649	-12.614629	26.70262	15.000877	-67.75627	69.0	963.05536	0.0	963.05536	963.05536	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-67.79808	36.017796	6.980613	-133.01115	-49.41864	27.414055	18.223562	-103.376015	-0.25938597	0.4517109	0.94035816	-1.5020552	49.159252	27.43359	103.80474	-17.884047	49.76849	26.31219	103.80474	0.10554261	0.85794765	0.38029462	1.0331028	-1.0935968	3169.234	2350.3127	10775.424	0.011139243	49.31567	26.684996	104.282845	0.0011139242
2	2999	9.298633098602295	-89.4283	131.86444	10.542188	-344.28552	260.2	974.40265	0.0	974.40265	974.40265	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-67.64736	28.77365	8.767207	-105.96449	-35.671974	14.983148	8.597075	-63.47264	-0.5124909	0.4244962	0.8050221	-1.6756186	35.159485	14.995425	63.270054	-9.715544	35.49847	14.174302	63.270054	0.0029479102	0.893788	0.31717056	1.0243511	-0.97155434	1461.052	870.4635	4003.0999	8.6901755e-06	34.893093	14.423855	63.068115	8.690175e-07
3	3999	11.693724870681763	-170.65002	165.97827	-4.6717515	-336.6283	527.0	962.0163	0.0	962.0163	962.0163	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-34.790813	26.552465	16.61151	-74.99331	-0.0586462	13.804807	54.4183	-37.2338	-0.39430076	0.37633318	1.0055653	-1.6270806	-0.33565447	13.805759	37.167423	-54.76897	9.937417	9.589546	54.76897	0.014382235	0.07822569	0.7344857	1.0363891	-1.0964843	190.71165	405.22708	2999.64	0.00020684866	8.8409605	10.259144	55.242256	2.0684867e-05
4	4999	14.496525526046753	-112.371796	136.17542	-28.272493	-348.04483	296.75	966.6158	0.0	966.6158	966.6158	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-41.384174	23.937817	14.728766	-79.52744	12.791516	14.759965	42.303833	-38.511402	0.055668656	0.34181932	1.2489992	-1.1142919	-12.735847	14.769302	38.509678	-42.682102	17.113134	9.352797	42.682102	0.00093675853	-0.6247998	0.6665013	1.0614038	-1.0896469	380.3341	355.99335	1821.7617	8.775166e-07	16.687828	9.901091	43.063755	8.775166e-08
5	5999	113.44924592971802	-368.05124	0.0	-368.05124	-368.05124	1000.0	808.93713	0.0	808.93713	808.93713	1000.0	146.89026	66.494804	239.86674	-8.777488	4.848	-5.055681	1.0124125	9.434639	-13.599136	-152.18263	0.86343205	0.07447716	0.99970007	0.74112564	-1.3565156	0.68785614	0.52757406	6.636235	8.195639e-08	-21.739027	13.706032	13.869512	-48.846825	51.35132	26.628382	88.06262	-5.152002	232.0072	4.652335	239.69489	202.71667	180.65587	24.736483	238.92564	140.19585	180.65587	24.736483	238.92564	140.19585	6.443875	7.191993	23.892565	1.6127183	33248.438	9432.8545	57085.465	19654.877	1326.0587	1672.4471	5708.5464	229.03859
6	6999	212.27261590957642	-68.08984	55.09816	-31.551289	-163.37514	208.75	707.75604	0.0	707.75604	707.75604	1000.0	245.19514	19.183817	262.6749	-10.340177	4.7304296	-4.872457	1.3506225	17.982574	-12.809601	-249.74779	0.6410316	0.054846797	0.74090487	0.5510674	-3.9678893	0.6608627	0.505092	4.657776	1.1827797e-06	-26.871212	16.378513	12.31095	-64.42682	45.54585	21.335861	70.92946	-1.0278374	238.02856	5.21344	248.39603	179.36502	192.48273	21.599052	242.03653	140.40729	192.48273	21.599052	242.03653	140.40729	6.7841973	6.5491285	24.203653	2.157498	37516.113	8634.668	58581.684	19714.207	1431.7738	1562.3163	5858.1685	302.92844
7	7999	307.86601638793945	-209.4709	0.0	-209.4709	-209.4709	1000.0	727.1092	0.0	727.1092	727.1092	1000.0	220.48935	20.450842	251.99702	-9.926536	2.7577174	-4.6582084	1.5887651	22.385052	-13.586417	-224.16553	0.47722068	0.040591802	0.55090547	0.41039163	-6.429983	0.63305146	0.48687005	5.073047	1.5497208e-06	-14.9277725	14.342389	25.267532	-47.936905	53.279385	31.232243	99.66509	-15.957639	199.43541	6.3503265	211.08517	162.77037	146.15604	30.22996	213.4064	90.61358	146.15604	30.22996	213.4064	90.61358	5.6231756	6.4867597	21.00785	0.9407037	22275.438	9457.009	45542.297	8210.821	999.48206	1310.8878	4413.2974	87.5398
8	8999	406.48609018325806	-77.6072	95.27453	17.667328	-172.88173	628.5	556.5787	0.0	556.5787	556.5787	1000.0	174.24756	18.480726	213.4122	-8.448377	1.7239811	-4.411785	1.7746923	26.303162	-14.963623	-177.06146	0.3556211	0.030031962	0.41027182	0.30634862	-8.7151375	0.6065359	0.47023702	5.0619593	1.6875565e-06	14.958672	27.201323	70.24236	-36.76533	88.63414	15.220778	126.144905	59.066948	156.08185	12.018409	175.75049	124.615204	67.44771	12.881148	98.34369	29.509579	67.44771	12.881148	98.34369	29.509579	0.80036	0.25400513	1.3971456	0.30595517	4715.118	1682.1993	9671.481	870.8152	56.884552	26.01706	133.03073	9.156295
9	9999	505.00779843330383	-65.057724	0.0	-65.057724	-65.057724	1000.0	612.31464	0.0	612.31464	612.31464	1000.0	129.23087	18.160114	178.57812	-9.968824	1.5383772	-3.957414	2.1347024	24.261927	-14.260172	-131.51236	0.26625526	0.022024045	0.30625963	0.22995834	-10.545678	0.5843257	0.46040294	5.531976	2.9802322e-08	16.413536	25.829481	69.56756	-40.58127	61.379875	24.542423	105.49408	-5.418472	126.21154	14.43612	143.17334	79.81203	64.831665	21.941542	138.21437	28.561676	64.831665	21.941542	138.21437	28.561676	1.8644149	2.7962172	13.821437	0.27977455	4684.5757	3544.059	19103.21	815.7693	172.4792	356.3518	1910.321	8.012042
