Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.562690258026123	119.14697	33.5297	229.89003	83.28867	23.780487	105.797	0.0	105.797	105.797	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.928425	31.480495	146.19975	3.8338377	-316.38602	200.08205	5.184371	-866.52167	-0.6442535	0.5817687	0.9415049	-1.9417453	315.7418	200.15274	865.8921	-6.593908	316.20883	199.41403	865.8921	4.110295	0.92859787	0.31353834	1.0187685	-0.65939075	139753.98	143871.95	749769.06	16.894526	315.49606	199.59679	865.26294	1.6894525
1	1999	3.8386447429656982	123.652756	40.749718	248.68694	83.21944	24.75	145.96982	0.0	145.96982	145.96982	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.22069	38.402306	163.6944	4.1143	-222.6525	139.24605	5.6107597	-598.4334	-2.5078924	0.51851887	-1.2574483	-3.9996827	220.1446	139.17241	595.30304	-8.289781	220.67467	138.33037	595.30304	0.56973714	0.90876335	0.3279392	0.99682945	-0.82897806	67832.6	67908.55	354385.7	0.3246004	218.24461	138.17975	592.189	0.03246004
2	2999	5.2103049755096436	126.48775	45.461918	278.80838	78.555916	25.243902	152.35794	0.0	152.35794	152.35794	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.79749	50.510056	223.54486	3.8133132	-205.94746	133.83064	5.6819954	-545.7448	-4.7137265	0.420455	-3.5976303	-6.3139057	201.23372	133.77559	539.60095	-10.837778	201.80316	132.91502	539.60095	0.014445372	0.88369673	0.3443237	0.99244016	-1.0837778	58390.918	61955.086	291169.2	0.00020866876	197.4728	132.44391	533.52625	2.0866875e-05
3	3999	6.55612587928772	124.16575	37.868557	246.1903	83.31418	24.575	118.85025	0.0	118.85025	118.85025	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.51677	31.126802	155.1083	3.9917173	-87.0047	61.764774	5.416393	-293.581	-6.196306	0.40405515	-4.881279	-7.5643883	80.8084	61.722294	286.82388	-12.0674095	82.09176	60.004845	286.82388	0.1822063	0.74284846	0.48947862	0.9805447	-1.206741	10339.638	13240.137	82267.945	0.033199135	77.071884	58.96296	280.22232	0.0033199135
4	4999	7.9131834506988525	115.271675	30.701187	187.41707	83.32567	22.931818	87.6931	0.0	87.6931	87.6931	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.988266	43.338722	234.94194	4.2177796	-61.183563	50.21401	7.2668486	-230.34605	-5.467315	0.36842	-4.297751	-6.508089	55.716244	50.213287	224.88795	-12.65404	57.219444	48.4934	224.88795	0.022959275	0.68080014	0.51753217	0.97797394	-1.2654041	5625.6743	8836.651	50574.594	0.0005271283	52.968983	47.622555	219.5592	5.271283e-05
5	5999	110.65912890434265	251.38876	97.04375	442.12106	82.87223	48.35	302.9518	0.0	302.9518	302.9518	56.0	298.4911	210.20186	635.9004	-20.308283	169.0156	-6.4356604	7.3151164	77.75947	-20.874405	-319.78506	0.8880149	0.06726497	1.0067439	0.7817238	-0.9896005	0.854646	0.7056258	26.208387	1.8789433e-07	141.62308	71.667274	294.798	3.7020955	186.98239	98.07899	403.55557	3.7020955	474.3719	185.83401	629.51843	32.19605	287.38947	119.72685	551.4912	-20.84821	287.48874	119.48825	551.4912	0.095429786	2.1571991	3.25027	54.496185	-0.30056396	96927.22	58783.97	304142.56	0.009106845	694.5604	1682.9797	29698.342	7.875586e-05
6	6999	212.3674876689911	287.64243	58.272453	413.806	189.3809	57.35294	549.62	0.0	549.62	549.62	101.0	406.66928	237.05597	670.5747	-11.960106	370.31796	-3.8254805	7.43511	34.083195	-21.10166	-432.94437	0.700139	0.046483535	0.7815358	0.6198716	-2.0805776	0.89827657	0.6771948	5.2024465	5.662441e-07	146.5982	80.31432	314.9106	3.6429448	182.1773	101.29683	397.8562	3.6429448	397.92978	125.57864	556.58154	28.361328	215.75249	101.92092	426.86038	-124.48146	217.66957	97.7597	426.86038	0.76272583	2.557461	4.1584635	33.77991	-0.42384595	56937.004	41139.293	182209.8	0.5817507	684.86035	1256.4785	11410.824	0.0022163768
7	7999	314.922803401947	411.46585	76.081085	526.71747	300.65375	81.84615	526.4746	0.0	526.4746	526.4746	99.0	287.02164	165.89607	561.80414	-12.182735	167.21513	-4.050714	5.575409	26.572533	-20.206713	-305.51926	0.5412701	0.044353217	0.6197188	0.46893966	-3.7285104	0.87504905	0.6596932	5.545083	2.3841858e-07	173.26416	87.68569	331.2022	3.5402238	213.34021	114.48051	441.15424	3.5402238	280.74335	130.50897	455.4928	1.9405413	67.4031	51.490417	216.89905	-70.00365	68.47998	50.0493	216.89905	0.121585965	0.40666738	0.40929902	3.7044668	-0.86356765	7194.441	8609.483	47045.195	0.014783146	39.650635	54.723682	403.65918	0.00011969805
8	8999	417.21439599990845	370.69382	68.11037	535.2273	287.4097	75.15385	716.55695	0.0	716.55695	716.55695	148.0	248.84674	134.23984	457.04684	-7.016201	84.58263	-4.103143	5.976533	33.04196	-21.508255	-262.34512	0.40674144	0.03474399	0.46881106	0.34936935	-5.51733	0.8712108	0.657362	6.1932907	5.736947e-07	161.123	85.315605	330.15872	3.535962	205.55988	113.467766	436.0219	3.535962	216.0152	129.9768	392.47324	6.879344	10.455313	66.178375	200.97675	-183.84644	49.804886	44.814777	200.97675	0.0026491585	0.07237646	0.42960605	2.509405	-0.78162515	4488.891	7237.607	40391.652	7.0180404e-06	24.793447	44.54692	311.68515	8.557925e-08
9	9999	520.3881685733795	439.63672	129.94775	780.0237	295.0519	92.1	589.15076	0.0	589.15076	589.15076	114.0	212.04999	113.72757	396.79007	-3.6013188	54.11282	-4.075694	5.8289905	31.859135	-22.852203	-222.26944	0.30193484	0.025902886	0.34926203	0.26012015	-7.282701	0.86544573	0.6535706	5.2397137	5.9604645e-07	186.88301	97.7148	388.79318	3.5318134	236.77133	127.07099	497.13202	3.5318134	220.56973	111.95744	355.62762	0.9426167	-16.201614	61.94412	117.949455	-175.726	48.552273	41.74018	175.726	0.02323821	-0.02646589	0.30092534	1.8570591	-0.9482567	4099.566	5724.4546	30879.623	0.0005400144	15.110304	18.898165	113.97267	5.2767186e-06
