Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	0.9664685726165771	20.943867	23.54933	115.327065	4.116121	23.209303	10.958243	0.05253558	11.016289	10.82735	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.2642874717712402	22.335522	23.96433	124.374176	3.452838	23.714285	10.958243	0.05253558	11.016289	10.82735	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	1.586059808731079	15.133925	9.13861	52.619244	6.126275	19.96	10.9518385	0.061200615	11.089569	10.882144	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	1.9465241432189941	18.134651	18.61323	116.574425	6.395498	22.044445	10.919092	0.056191996	11.043153	10.848746	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.352713108062744	18.294903	20.980427	151.20201	6.8408637	20.645834	10.9239025	0.05741941	11.003867	10.83349	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	90.75548148155212	173.77052	100.72082	351.1055	24.468658	90.0	311.80737	4.822432	319.91956	300.89297	125.8	91.06759	52.32566	178.31761	-19.149136	7.8715334	-0.75294906	1.8939227	19.035118	-10.454847	-97.41716	0.8834621	0.06264315	0.99970007	0.77796566	-0.19969617	0.84523803	0.62750804	5.5539227	2.026558e-06
6	6999	178.9688949584961	245.55319	39.895504	321.45398	200.62973	116.25	385.19873	1.8314058	388.12674	382.15753	204.5	178.4074	53.544308	223.66753	-35.79162	11.5788355	-0.3626114	2.4334133	27.99614	-9.847595	-187.71793	0.68496895	0.05152318	0.7777663	0.6000987	-0.5143955	0.87678355	0.67769295	7.506942	1.7881393e-07
7	7999	271.34079480171204	292.5009	100.61129	468.55023	156.52847	167.33333	359.52435	1.0376383	360.62985	357.20993	268.4	182.98726	52.993885	221.49127	-33.76635	8.251238	-0.28463894	2.6453283	30.712206	-11.34779	-191.41565	0.5260448	0.041714944	0.59994775	0.4548993	-0.83162147	0.87666136	0.69693565	7.923585	1.3560057e-06
8	8999	362.4545524120331	313.0486	13.542957	338.77292	289.5866	137.5	474.92	2.2729535	478.8514	471.06918	296.7	166.65086	50.920883	205.94409	-34.449924	4.366911	-0.33122492	2.594034	31.950813	-9.456411	-173.45906	0.3944352	0.033337105	0.45476916	0.3385189	-1.2448809	0.8622784	0.6876691	7.9359283	3.874302e-07
9	9999	457.99513006210327	318.2201	49.30684	386.4808	230.34111	156.33333	375.57718	2.3326526	378.33664	370.67975	201.7	149.7913	45.59218	189.66338	-28.07053	2.4186816	-0.36723807	2.5846007	31.665764	-10.629402	-155.28459	0.29213774	0.02549191	0.33840945	0.25060886	-1.6869714	0.8465561	0.67961144	8.831991	1.0728836e-06
10	10999	553.4244699478149	309.25195	8.271076	317.4035	294.89584	128.375	286.26886	1.3246365	288.30707	283.72888	125.2	140.23404	43.016346	173.11372	-23.16767	1.8971416	-0.23101489	2.6417637	32.890224	-10.471917	-144.95497	0.21853292	0.017429164	0.25053668	0.18988976	-1.8722593	0.85790104	0.6877184	8.897663	9.536743e-07
11	11999	644.0025775432587	318.30978	6.8887706	325.8203	307.29813	130.57143	348.27084	2.918844	354.54633	344.87543	138.6	135.75974	41.63124	167.72652	-18.163519	1.3892004	-0.06649997	2.688837	33.599	-11.850587	-139.89821	0.16657665	0.012558409	0.18983904	0.1462812	-1.9081295	0.8664723	0.69390893	9.821503	8.940697e-07
12	12999	735.1595251560211	345.2425	10.371334	361.671	325.34177	135.5	366.1962	1.763145	368.61514	362.56482	140.2	135.68994	41.28858	168.58273	-17.589172	1.3748304	0.2562235	2.8681946	35.46936	-12.040061	-139.55579	0.1312565	0.00825757	0.14624977	0.117879905	-1.5070066	0.9014169	0.7289424	10.103682	2.3841858e-07
13	13999	828.141880273819	343.4079	43.41535	378.5707	240.55127	136.28572	364.98322	1.9441454	367.1942	360.99335	138.4	139.39952	42.134514	174.43213	-45.7136	1.3792808	0.49513236	2.9193504	36.48014	-11.183338	-143.0889	0.107862055	0.005978943	0.11785824	0.09730279	-1.1257974	0.91071343	0.74584275	11.371216	3.516674e-06
14	14999	918.0138602256775	374.61963	5.582081	383.27264	365.3374	141.71428	360.9164	1.4502267	362.23422	357.6939	138.5	143.95824	43.787785	181.80832	-28.49054	1.2526758	0.7536689	2.9990845	38.606396	-9.972818	-147.57433	0.09081207	0.003176222	0.0972874	0.08632184	-0.58788663	0.92797786	0.763005	12.563528	3.6135316e-07
15	15999	1011.1356859207153	386.79123	12.665511	403.6948	368.47238	143.42857	404.36722	0.8341513	406.1874	403.7046	149.2	147.86084	46.412983	187.02895	-60.630383	1.5593026	0.9562454	3.107867	38.112793	-12.669712	-151.33272	0.08440814	0.0011552583	0.086565584	0.08304558	-0.107781135	0.9627567	0.78838694	13.919425	3.1888485e-06
16	16999	1102.4938662052155	399.4543	7.586147	411.72546	385.47186	145.57143	371.6966	1.2030973	373.23596	369.6892	144.4	152.2542	49.00113	198.71419	-73.727806	1.3521284	1.0249783	3.0980513	36.196445	-12.366289	-155.74211	0.08447586	0.0007211838	0.085700095	0.0832176	0.0617623	0.9634012	0.79284716	13.685951	1.4901161e-06
17	17999	1191.6154489517212	393.1372	12.24852	417.31393	378.43512	146.71428	356.1648	1.3801482	358.19803	353.57132	147.7	156.10156	50.785507	200.05603	-73.30616	1.2492224	0.9458371	3.0442183	35.044724	-11.467598	-159.46072	0.08345376	0.0027501152	0.087353095	0.07994573	-0.13447942	0.96218026	0.78356516	12.998278	2.3841858e-07
18	18999	1283.0164909362793	405.47543	6.5823154	413.98636	394.47998	148.57143	381.5375	1.846233	384.98306	377.77444	145.6	153.176	50.41045	195.49864	-66.23718	1.1193082	0.9815336	3.153234	36.876167	-11.278416	-156.37007	0.07984001	0.00096301426	0.08183948	0.07795448	-0.04648832	0.9601902	0.79154843	12.852565	3.2782555e-06
19	19999	1371.8421621322632	415.41116	6.763539	423.4039	405.82452	149.0	198.96432	1.9425486	202.8685	196.86578	91.6	154.57999	51.18082	197.90079	-64.41553	1.0650191	0.93553275	3.1214633	35.918274	-11.618636	-157.60097	0.07597578	0.0019977936	0.07958586	0.07279782	-0.16588965	0.9530717	0.7924144	13.810319	5.1259995e-06
20	20999	1460.608686208725	409.90567	8.076482	418.81506	394.5657	147.42857	372.5788	1.5903126	375.0187	369.73337	143.0	155.208	51.30609	197.30286	-77.94537	0.93171644	0.97678936	3.1119337	36.726486	-11.791543	-158.09427	0.07204305	0.000992569	0.07393655	0.07087149	-0.060921963	0.9485206	0.79093	13.452972	1.2516975e-06
21	21999	1552.2760734558105	418.25684	5.9828253	427.5589	410.45673	149.0	432.98608	1.1919259	434.20834	430.71326	152.7	155.62169	51.703766	197.4722	-73.7432	0.89997935	0.9382456	3.103476	39.776806	-16.630722	-158.37994	0.06866579	0.001474856	0.0716455	0.06577403	-0.1655631	0.9319969	0.79704314	13.85388	3.7364662e-06
22	22999	1644.2032582759857	419.0579	7.930878	433.9571	410.12653	147.57143	417.08	1.620616	420.23233	414.3851	148.8	157.26517	52.111694	200.66904	-70.05914	0.9158648	0.93576896	3.0874689	35.74877	-19.44817	-159.92322	0.06402681	0.0016189291	0.06610245	0.060299158	-0.17745481	0.9270342	0.79176015	12.914477	6.109476e-06
23	23999	1733.6517641544342	425.5503	13.499726	452.71896	409.5807	150.5	447.13168	1.7128187	451.27032	444.9646	156.3	159.68813	53.249443	203.83812	-93.43788	0.9193755	1.0123712	3.1560218	37.918198	-11.576829	-162.37643	0.06203347	0.00059655425	0.06287817	0.060347684	0.034748197	0.9327194	0.802807	14.417561	7.925555e-07
24	24999	1824.619236946106	437.7435	7.361524	452.33997	428.82422	152.0	491.49756	2.1273403	495.72476	488.2685	163.9	159.79478	53.90241	204.05592	-58.02536	0.9421568	1.0330449	3.1348603	36.972496	-10.489453	-162.35371	0.06301848	0.00045267318	0.063788064	0.0612306	0.09178759	0.930251	0.8009711	16.027515	4.142523e-06
25	25999	1916.3960287570953	514.62524	51.53939	577.60516	444.69742	171.5	439.74493	140.59142	504.72562	18.62349	152.6	161.62798	54.749413	206.60265	-49.37407	1.1423184	1.1364652	3.1609042	37.65169	-9.131279	-164.2184	0.06725818	0.0024441956	0.07477537	0.06379804	0.3646697	0.95324016	0.8128788	14.791409	4.7683716e-07
26	26999	2009.4587020874023	480.12646	86.87007	570.93176	323.20746	163.0	154.64505	1.5503181	157.0941	152.55371	78.6	172.34102	62.385475	240.76628	-62.768665	1.7677174	1.3482676	3.2201443	36.29886	-11.341719	-175.17941	0.08878113	0.006955518	0.10056838	0.07480749	0.8506296	0.99943346	0.8659696	20.05674	9.536743e-07
27	27999	2102.403881788254	630.8348	13.287323	645.11285	606.0971	212.8	503.85236	5.359709	511.71906	495.66452	184.6	175.82011	63.43023	236.26877	-116.976585	1.3756882	1.0481147	3.0894325	36.018993	-9.749157	-178.57559	0.104507945	0.0009308814	0.10564681	0.10059185	0.10968555	0.98649424	0.83728254	20.365269	4.7683716e-07
28	28999	2194.587782382965	671.57385	28.508995	713.6	638.26416	217.6	546.6513	2.597965	550.61615	541.5277	182.7	179.20767	64.11656	245.79726	-98.006874	1.3785549	1.0935148	3.0654712	36.532074	-10.178044	-182.02818	0.11145556	0.0032551575	0.1161674	0.1046079	0.20676026	0.9671517	0.8271598	23.060566	0.0
29	29999	2287.4515788555145	679.7007	22.687798	706.0267	650.69476	220.5	698.95294	1.6160907	701.6023	695.74915	224.9	184.99396	67.78264	248.60289	-126.03751	1.336624	1.0308911	3.05692	36.519028	-10.904867	-187.93034	0.11890513	0.0008188886	0.11990908	0.11556267	0.06625791	0.9796236	0.82850546	22.683502	7.748604e-07
30	30999	2380.6005458831787	723.4198	31.17269	772.9305	687.91724	237.0	620.5939	2.87494	625.8839	615.7577	205.7	187.99951	68.064644	253.516	-111.30377	1.5012932	0.987171	2.991224	35.438553	-10.195446	-190.80066	0.12003045	0.0011572134	0.121006295	0.11727373	-0.027311694	0.97465676	0.8201775	21.333729	2.5480986e-06
31	31999	2473.0290143489838	765.7179	14.720296	782.20184	744.4333	246.5	744.6244	15.449964	766.4744	723.55786	236.9	189.24109	68.23781	256.00684	-115.657974	1.3034319	0.97274137	3.005639	35.896023	-10.947842	-192.00381	0.11478301	0.0015162606	0.11840491	0.11317666	-0.058795493	0.9710972	0.82075083	28.61398	7.3313713e-06
32	32999	2569.2728803157806	952.8707	148.77254	1195.756	799.95654	297.75	818.4041	7.121636	830.03827	808.02295	311.9	192.94473	68.80961	264.33292	-92.28848	1.3844051	1.0305703	3.02099	37.09381	-11.444464	-195.61937	0.116074525	0.0007685166	0.11786922	0.11318877	0.06606366	0.9794901	0.8250081	19.267033	1.1920929e-07
33	33999	2666.2389640808105	1272.2688	83.513306	1355.7821	1188.7555	396.0	1319.3268	106.34692	1410.2363	1182.4397	424.7	195.79523	70.208015	268.47516	-113.20083	1.3228499	1.0273007	2.9689689	36.36838	-11.90756	-198.4816	0.120033905	0.0011093788	0.12257804	0.117899805	0.057939567	0.9771857	0.82101005	22.294235	3.2782555e-07
34	34999	2761.1521096229553	1521.8328	620.40497	2142.2378	901.42786	488.0	2258.2517	561.15753	2916.2744	1587.0034	750.1	197.91635	71.34935	272.7086	-129.12662	1.2930762	1.009323	2.91071	33.176556	-10.259509	-200.55821	0.12368779	0.00035745985	0.12422869	0.12247568	0.019564979	0.9672956	0.80783904	18.818068	4.2915344e-06
35	35999	2856.912274122238	1827.5315	944.37085	2771.9023	883.16064	569.0	720.2536	3.6003478	724.5675	712.6033	233.5	201.61162	72.28922	280.1316	-105.56618	1.3352224	1.0296818	2.9490147	33.05918	-10.892151	-204.28232	0.12667085	0.0014618767	0.12984923	0.12409864	0.061364707	0.9695072	0.8121412	22.245445	2.026558e-06
36	36999	2953.7139625549316	3079.6604	0.0	3079.6604	3079.6604	1000.0	2201.044	327.75217	3049.9282	1869.7207	673.2	206.02159	73.58348	288.62988	-87.59351	1.4366208	1.0187203	2.9250247	34.60248	-12.510589	-208.73485	0.13178185	0.0012274819	0.13378425	0.12975232	0.03807415	0.96874183	0.8100155	24.098219	1.1324883e-06
37	37999	3053.2949769496918	2806.246	0.0	2806.246	2806.246	1000.0	2051.9253	139.89658	2290.838	1832.3097	640.8	209.75108	73.82209	289.45895	-128.91873	1.4490818	1.0149755	2.8773963	33.750233	-13.115406	-212.40079	0.13538863	0.00064684596	0.13663477	0.13307825	0.030093065	0.96182823	0.8035547	28.761967	2.2053719e-06
38	38999	3150.5889925956726	1546.4032	0.0	1546.4032	1546.4032	484.0	1017.403	184.99745	1431.5272	875.3696	363.8	212.38284	73.37616	291.0146	-118.57802	1.3831006	0.9902028	2.8333023	32.13105	-10.998956	-214.94058	0.1352782	0.00075757405	0.13680598	0.13399158	-0.019555284	0.9532769	0.7969485	22.820251	1.8179417e-06
