Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh	AverageMCDisRet	StdMCDisRet	MaxMCDisRet	MinMCDisRet	AverageMCDisRetEnt	StdMCDisRetEnt	MaxMCDisRetEnt	MinMCDisRetEnt	AverageQPred	StdQPred	MaxQPred	MinQPred	AverageQBias	StdQBias	MaxQBias	MinQBias	AverageQBiasAbs	StdQBiasAbs	MaxQBiasAbs	MinQBiasAbs	AverageNormQBias	StdNormQBias	MaxNormQBias	MinNormQBias	AverageQBiasSqr	StdQBiasSqr	MaxQBiasSqr	MinQBiasSqr	AverageNormQBiasSqr	StdNormQBiasSqr	MaxNormQBiasSqr	MinNormQBiasSqr
0	999	2.045393943786621	18.531794	9.892109	51.2227	6.696097	22.83721	46.31941	0.0	46.31941	46.31941	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0072193	7.960901	41.00527	-6.411971	11.261342	10.53118	52.88866	-4.458514	0.4159573	0.3746343	1.3001764	-0.5130372	-10.845385	10.531128	4.6123576	-52.283287	11.0471735	10.319254	52.283287	0.0034910708	-0.6328782	0.39813086	0.4612358	-1.0445156	228.52702	399.27136	2733.542	1.21875755e-05	10.031618	10.7242775	51.68484	1.2187576e-06
1	1999	2.8514721393585205	20.151817	12.101919	65.203514	6.7891846	24.195122	46.31941	0.0	46.31941	46.31941	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0072193	7.960901	41.00527	-6.411971	11.261342	10.53118	52.88866	-4.458514	0.4159573	0.3746343	1.3001764	-0.5130372	-10.845385	10.531128	4.6123576	-52.283287	11.0471735	10.319254	52.283287	0.0034910708	-0.6328782	0.39813086	0.4612358	-1.0445156	228.52702	399.27136	2733.542	1.21875755e-05	10.031618	10.7242775	51.68484	1.2187576e-06
2	2999	3.675466537475586	17.428719	10.798082	63.36147	5.468231	21.723404	48.086452	0.0	48.086452	48.086452	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.795539	17.638523	91.59871	-2.0001583	15.617182	21.39551	114.01345	-0.64427865	0.41422474	0.3487148	1.2334478	-0.5497452	-15.202956	21.434978	1.1751052	-113.2537	15.271734	21.386032	113.2537	0.0069705984	-0.6675585	0.3745323	0.11751052	-1.0467671	690.58826	2155.0276	12826.401	4.8589245e-05	14.314053	21.705479	112.499016	4.8589245e-06
3	3999	4.543789386749268	18.014074	11.071851	50.493156	5.792627	20.6875	46.891052	0.0	46.891052	46.891052	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4782157	6.1173034	26.284729	-3.4541519	10.234693	8.150962	35.522995	-1.3378386	0.45132697	0.36270005	1.3080425	-0.4305187	-9.783366	8.184211	1.6163281	-34.9904	9.875233	8.073124	34.9904	0.0130714355	-0.64052135	0.37874976	0.16163282	-1.0324855	162.69556	222.96616	1224.3279	0.00017086243	8.844642	8.499229	34.902557	1.7086242e-05
4	4999	5.4422430992126465	20.566559	16.361631	99.95171	5.1732616	23.32558	47.54664	0.0	47.54664	47.54664	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.415405	10.46477	46.798595	-1.5220045	14.105398	13.773123	62.018192	-0.71830165	0.45305195	0.36672103	1.3271089	-0.51958555	-13.6523485	13.817522	1.6834027	-61.572186	13.72413	13.746228	61.572186	0.0027974877	-0.6838283	0.3703119	0.16834027	-1.0288174	377.31052	703.33624	3791.134	7.825937e-06	12.769942	14.12687	61.923283	7.825937e-07
5	5999	108.45709085464478	171.34282	91.81685	294.15506	10.283395	86.90909	218.58936	0.0	218.58936	218.58936	102.0	95.11871	54.952232	188.35692	-19.510628	6.7204037	-0.7419603	1.8666954	14.168635	-10.361078	-101.499374	0.8839411	0.061878767	0.99970007	0.78028446	-0.19539598	0.84009963	0.6140469	4.5140643	3.8146973e-06	98.47193	46.182972	162.0073	2.0748136	107.33638	50.46137	179.78145	2.0748136	165.48714	39.07541	188.03876	12.348711	58.15075	41.73574	176.48495	-3.2546668	58.16078	41.721756	176.48495	0.25739798	1.2130861	2.5490701	17.648495	-0.107477695	5123.382	6624.975	31146.94	0.06625372	145.08319	425.9332	3114.6938	0.003101491
6	6999	212.81681561470032	214.4	57.076916	335.23724	148.94778	99.5	112.23111	0.0	112.23111	112.23111	73.0	186.72041	55.096485	231.74861	-28.45473	14.043625	-0.35555083	2.2412848	15.835293	-11.4483795	-196.34116	0.687391	0.052005973	0.78008914	0.600937	-0.5089743	0.8573826	0.6452039	4.9655733	4.172325e-07	49.75688	26.70107	108.57252	1.3512396	58.425133	31.579855	127.55502	1.3512396	221.34526	7.3364387	229.87634	175.71112	162.92014	28.374668	219.74995	96.42174	162.92014	28.374668	219.74995	96.42174	5.104983	5.538676	21.974997	0.75625306	27348.092	9195.359	48290.047	9297.151	954.7372	1181.2474	4829.0044	72.919235
7	7999	316.37007570266724	394.41605	118.06454	511.66348	220.33963	240.25	557.594	0.0	557.594	557.594	370.0	188.59595	56.07376	231.04378	-32.475792	11.435176	-0.18688564	2.3487566	16.69426	-12.960605	-197.34193	0.5301095	0.039207306	0.6007716	0.4619085	-0.7571427	0.8576562	0.6575652	5.458983	3.5464764e-06	115.322464	34.41323	160.70009	2.65866	125.11592	39.356823	178.27164	2.65866	152.32382	53.212772	218.82217	3.575481	27.207903	16.795876	55.813484	-8.058519	27.422129	16.443794	55.813484	0.013380965	0.22138894	0.17904603	1.7418911	-0.40969563	1022.3714	923.5441	3115.145	0.00017905023	7.252991	5.8536153	30.34185	1.6377977e-06
8	8999	420.3929991722107	322.36212	239.8738	737.38025	80.00386	210.0	996.8019	0.0	996.8019	996.8019	1000.0	170.82529	49.813236	219.55846	-41.83885	7.1254334	-0.27304834	2.371241	18.015514	-10.012638	-177.74881	0.40010333	0.034184087	0.4617738	0.3434963	-1.171543	0.8434366	0.6534309	5.5459576	1.1511147e-06	120.8265	30.710863	145.51825	2.7035208	131.46382	38.83686	166.1134	2.7035208	148.76907	39.914436	188.64217	-3.1530614	17.305252	9.191086	47.599575	-6.2253237	17.456028	8.901397	47.599575	0.050582934	0.14612184	0.15671505	1.0916622	-0.62253237	383.94778	376.67404	2265.7197	0.0025586332	3.685155	5.6836624	44.581554	0.00013568843
9	9999	521.9197425842285	276.72385	105.67066	379.50388	62.167645	127.85714	194.55801	0.0	194.55801	194.55801	110.0	154.22697	43.532627	188.77763	-31.72783	4.3818994	-0.19320962	2.416721	20.721537	-10.608034	-159.7985	0.29881054	0.02450407	0.3433968	0.25891566	-1.4424119	0.8499553	0.66002625	6.0033474	3.695488e-06	81.09801	38.24914	147.30685	1.4170429	90.61623	42.85775	162.82452	1.4170429	149.84848	23.596897	179.50377	53.14372	59.23226	28.220253	130.63817	14.305277	59.23226	28.220253	130.63817	14.305277	1.4876425	2.4581907	13.063816	0.08943223	4304.8433	3852.0735	17066.33	204.64095	139.11227	292.7376	1706.633	1.2793528
