Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.5974078178405762	21.867727	16.199148	88.12324	7.9728937	24.55	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.934410810470581	21.89739	19.323784	91.71036	6.8197417	24.390244	9.207225	0.22911604	9.605422	8.813919	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.299107074737549	17.015001	11.203094	63.820225	6.1277585	21.404255	9.224884	0.3388997	9.823537	8.630303	38.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.6943442821502686	18.893555	13.409136	77.89592	6.398895	21.644444	9.196348	0.17021175	9.584463	9.011229	38.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.1319420337677	14.7635565	9.767971	51.274837	5.4382825	20.22449	9.321554	0.15404956	9.58349	9.060116	38.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	104.35444784164429	127.62675	56.969837	204.47675	16.873861	70.14286	204.94235	1.9244022	207.004	201.69064	94.3	92.71757	54.60598	182.46065	-24.797619	7.5342717	-0.7265534	1.8477099	14.052956	-10.153023	-99.253334	0.8835328	0.06216806	0.99970007	0.78107154	-0.19325171	0.81989413	0.6022067	4.4999223	1.2367964e-06
6	6999	206.15062618255615	179.08081	37.198406	239.2828	125.09727	100.6	87.6796	0.77618283	88.79606	86.8338	58.4	173.73877	52.988518	219.87436	-29.53915	11.830883	-0.31503913	2.2113636	17.009317	-13.124587	-183.05066	0.68864477	0.05162994	0.78088707	0.60390085	-0.4893967	0.8428977	0.6431021	5.3844647	2.3841858e-07
7	7999	311.4885241985321	283.9276	117.01893	441.0981	160.47345	219.33333	999.3286	0.6695254	1000.2872	998.08014	1000.0	182.48232	54.464146	223.48381	-24.484491	9.385752	-0.1411738	2.333068	18.784199	-9.431025	-191.06865	0.5321009	0.03989169	0.60375965	0.4664291	-0.7195861	0.84825075	0.6604224	5.2552176	2.4437904e-06
8	8999	416.77962017059326	1055.1365	0.0	1055.1365	1055.1365	1000.0	1016.11096	0.5910927	1017.06415	1015.1836	1000.0	165.02762	51.210873	216.86177	-27.572086	4.5008516	-0.07110918	2.3788743	23.978077	-12.352398	-172.21077	0.40975383	0.032269437	0.46631944	0.3551143	-0.9608795	0.8401164	0.66579324	5.777974	1.9073486e-06
9	9999	521.7788825035095	608.13544	0.0	608.13544	608.13544	433.0	1031.7844	0.5324236	1033.0894	1031.0902	1000.0	147.28471	46.019955	200.53934	-24.04701	2.874212	-0.19951575	2.3648381	20.789265	-11.935331	-152.95178	0.30709985	0.027288824	0.35501713	0.2601577	-1.4298959	0.83084106	0.66378075	5.7760205	4.3213367e-07
