Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.46712064743042	20.943867	23.54933	115.327065	4.116121	23.209303	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.7081537246704102	22.335522	23.96433	124.374176	3.452838	23.714285	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	1.9729552268981934	15.133925	9.13861	52.619244	6.126275	19.96	10.970255	0.06488296	11.108696	10.902742	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.2741761207580566	18.134651	18.61323	116.574425	6.395498	22.044445	10.9312	0.030251013	10.998956	10.901944	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.6195194721221924	18.294903	20.980427	151.20201	6.8408637	20.645834	10.933294	0.069096416	11.0111685	10.803399	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	191.36991214752197	153.50056	71.303246	244.78601	24.47122	77.833336	239.43965	2.9752047	243.43857	234.69003	168.0	91.47216	53.23099	194.74812	-24.34779	7.7938643	-0.70301104	1.8972465	20.34591	-10.50123	-97.86465	0.884969	0.061224557	0.99970007	0.7821013	-0.18851899	0.8461549	0.62568223	4.8662324	1.2218952e-06
6	6999	379.35526394844055	218.42635	35.17333	263.6456	121.66583	101.1	-0.22511825	0.20208047	0.13319007	-0.5243729	19.5	195.743	55.79138	242.87201	-22.844252	14.597037	-0.32325754	2.5055273	30.134092	-11.491438	-205.82074	0.68638027	0.05037302	0.7818912	0.60570073	-0.4882701	0.89288616	0.69221115	10.947419	2.592802e-06
7	7999	567.4931826591492	254.68681	115.89569	357.63904	31.109322	139.57143	212.89807	2.3680882	216.58464	207.63188	129.7	138.26228	42.731377	207.45013	-22.797245	6.3102365	-0.30209365	2.4782012	28.255766	-9.7117605	-145.00969	0.52944124	0.0433061	0.6071461	0.46177104	-0.82633644	0.8951392	0.6908047	8.5142	2.7418137e-06
8	8999	758.2737016677856	277.89734	75.60983	368.15717	123.21616	123.5	143.23251	1.4628887	145.76956	140.70924	154.5	185.15088	55.156082	224.23555	-31.004719	8.351734	-0.03871671	2.624534	32.447044	-9.335183	-192.73248	0.40739554	0.027163088	0.461653	0.3625398	-0.92393994	0.9186729	0.7138074	7.5905704	5.364418e-07
9	9999	944.5151746273041	377.95657	25.144262	414.5204	338.54156	192.8	342.8347	0.87270564	344.5771	341.23938	178.0	151.86047	46.557743	217.6556	-30.555761	4.1301103	-0.17280965	2.5769134	32.936573	-12.976206	-157.6805	0.31282818	0.026517894	0.36244288	0.2688692	-1.3645902	0.90305877	0.701018	8.152986	1.6987324e-06
10	10999	1130.6934413909912	348.06705	79.20404	418.88583	164.25829	145.85715	12.01091	0.443152	12.576754	11.078403	36.6	174.4826	54.7766	220.48079	-27.575077	4.625415	0.20115992	2.700263	32.772438	-10.078078	-180.44464	0.24060751	0.014868011	0.2687917	0.21507521	-1.1350678	0.9140422	0.72094035	8.988464	9.3877316e-07
11	11999	1319.1197605133057	372.05356	21.815002	415.51398	348.53406	145.71428	25.9071	1.5013593	28.224874	23.480925	49.7	159.11104	48.71026	196.31996	-34.826538	3.199248	0.37562397	2.8127494	34.16707	-11.538294	-164.23332	0.19334227	0.0115391845	0.21502614	0.1733434	-1.0239637	0.936803	0.737696	9.840551	6.7055225e-07
