Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.3146295547485352	20.943867	23.54933	115.327065	4.116121	23.209303	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.5483696460723877	22.335522	23.96433	124.374176	3.452838	23.714285	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	1.8112473487854004	15.133925	9.13861	52.619244	6.126275	19.96	10.970255	0.06488296	11.108696	10.902742	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.1073720455169678	18.134651	18.61323	116.574425	6.395498	22.044445	10.9312	0.030251013	10.998956	10.901944	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.4496610164642334	18.294903	20.980427	151.20201	6.8408637	20.645834	10.933294	0.069096416	11.0111685	10.803399	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	104.80512237548828	157.615	81.93002	246.08693	24.469702	82.454544	187.04001	2.9938345	192.26337	181.11981	92.7	92.43138	54.20648	192.64848	-24.082493	8.271398	-0.70561004	1.8778979	18.300991	-10.495441	-98.88589	0.8845408	0.061473384	0.99970007	0.7824412	-0.1886915	0.8466556	0.62340206	5.139397	4.172325e-07
6	6999	207.478009223938	225.67822	51.226387	291.63818	157.01703	112.77778	356.23032	1.0431956	357.45654	353.9394	148.2	182.2217	57.77982	228.576	-24.304829	12.9822855	-0.3432645	2.390535	26.965893	-10.122702	-191.92632	0.69030184	0.05284951	0.7822572	0.5995822	-0.504416	0.884986	0.67804617	6.9953237	1.1920929e-06
7	7999	314.75449538230896	316.28183	63.68542	396.00928	202.73985	199.2	1042.578	0.5934652	1043.7122	1041.5111	1000.0	174.79889	57.304558	223.94485	-47.274307	8.495346	-0.26502293	2.520831	30.227901	-10.370147	-183.24257	0.5228	0.040860932	0.59941095	0.45767695	-0.81498206	0.8697322	0.68305224	6.2261634	1.66893e-06
8	8999	417.76396799087524	344.34103	117.116165	592.30273	222.19022	182.83333	287.20215	0.8953168	288.5163	285.72482	133.9	175.85808	48.150883	222.42793	-29.12073	6.751875	-0.10047344	2.5464427	26.926176	-9.193846	-183.10213	0.40136224	0.03062357	0.45757195	0.35251153	-1.0008281	0.8748541	0.69056284	7.1994534	1.6093254e-06
9	9999	524.5045144557953	293.02698	17.002815	312.40384	265.68185	155.5	1031.3827	1.4802238	1033.6017	1029.5715	1000.0	167.36235	53.928318	223.17346	-45.36239	4.453593	0.07140155	2.563511	28.135685	-11.398472	-173.87318	0.31234545	0.02322423	0.3524253	0.2731989	-1.0840871	0.8785243	0.6911187	7.3342023	1.0728836e-06
