Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.3269872665405273	20.943867	23.54933	115.327065	4.116121	23.209303	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.5449674129486084	22.335522	23.96433	124.374176	3.452838	23.714285	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	1.7640492916107178	15.133925	9.13861	52.619244	6.126275	19.96	10.970255	0.06488296	11.108696	10.902742	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	1.983442783355713	18.134651	18.61323	116.574425	6.395498	22.044445	10.9312	0.030251013	10.998956	10.901944	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.3360519409179688	18.294903	20.980427	151.20201	6.8408637	20.645834	10.933294	0.069096416	11.0111685	10.803399	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	96.53111028671265	157.615	81.93002	246.08693	24.469702	82.454544	287.8355	1.5146074	290.12405	285.96082	144.9	92.43427	54.197853	189.47723	-24.082493	8.216488	-0.70644903	1.8764677	18.300991	-10.495441	-98.8877	0.88454074	0.061473403	0.99970007	0.7824294	-0.18889712	0.8465254	0.6232701	5.139397	4.172325e-07
6	6999	189.44799900054932	235.4043	53.307816	308.2826	133.81697	117.666664	373.46246	3.5627599	381.91812	370.36298	216.4	177.94034	56.69979	224.34225	-24.825615	12.307258	-0.33330786	2.3732872	27.991194	-11.082704	-187.4288	0.6890406	0.052352156	0.78222376	0.60186076	-0.497756	0.8809146	0.67544967	6.696611	5.364418e-07
7	7999	287.55015301704407	307.03598	88.32335	411.91968	180.08574	200.0	1055.7394	0.56774735	1056.8247	1054.6915	1000.0	175.35033	56.455402	221.97833	-22.503931	8.144543	-0.31013596	2.5053642	28.596786	-10.372415	-183.65257	0.5253777	0.043549854	0.6017063	0.45292827	-0.85009027	0.8654937	0.68326646	6.2471685	3.3974648e-06
8	8999	380.9490399360657	378.80493	163.59293	658.32416	242.41396	245.75	261.0334	1.3071446	263.3609	258.66843	114.9	160.12349	45.473034	204.62215	-31.644419	4.7739363	-0.2513239	2.4451814	24.484837	-10.004232	-166.7492	0.39540684	0.03245438	0.45280594	0.34093884	-1.1673809	0.8500721	0.67298895	6.6661034	1.5497208e-06
9	9999	571.682867527008	295.74863	45.4015	385.7516	252.59242	128.625	817.2179	237.82098	1083.5387	399.69714	769.3	151.51492	45.903614	189.03107	-38.259285	3.2669003	-0.15716165	2.5101323	26.455307	-11.870851	-157.2265	0.2981515	0.023785928	0.3408426	0.25867125	-1.403104	0.87133634	0.68709785	6.8866515	5.930662e-06
