Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.4854211807250977	18.500225	16.669497	111.7164	6.185877	21.911112	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.884831190109253	17.70907	14.165849	67.205025	3.9594252	21.891304	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.306325912475586	17.825142	22.95943	140.58832	5.134584	20.375	60.72522	0.67172784	61.81471	59.33523	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.765597105026245	15.418226	9.422609	55.177822	5.3764033	20.67347	60.627136	0.72425467	62.010853	59.745815	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.2627434730529785	19.112518	15.365239	93.06457	6.7504177	22.533333	60.7536	0.50940776	61.215862	59.76718	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	98.62481427192688	178.07735	127.0079	377.7992	8.302239	98.5	56.17475	1.0435967	57.46787	54.11418	34.3	90.08201	52.428757	182.30904	-19.773634	5.806364	-0.70441806	1.9305074	12.043929	-9.660063	-96.47606	0.88405895	0.061532173	0.99970007	0.78352344	-0.18780026	0.8555476	0.62219644	4.8853135	2.771616e-06
6	6999	194.28747534751892	234.09418	104.80285	339.53833	51.765495	108.0	355.19067	1.1571623	356.90784	353.289	163.8	180.69705	54.69328	229.60454	-35.332077	9.716636	-0.25015232	2.3882866	15.352375	-10.756865	-190.54634	0.6942165	0.05072737	0.78334403	0.60869753	-0.45797187	0.8974305	0.66978717	5.011589	1.7285347e-06
7	7999	290.0637242794037	316.9898	71.81192	365.58118	145.01828	149.14285	390.7093	1.6722116	393.36404	387.55948	203.2	188.97224	60.674343	232.17	-32.206406	5.93062	-0.30572784	2.4339411	16.475693	-10.512133	-197.8589	0.52939355	0.04415249	0.6085317	0.45539504	-0.8365793	0.87285227	0.6662207	6.361223	2.7418137e-06
8	8999	387.07523941993713	265.86313	129.9758	453.8038	131.48134	155.66667	652.82214	1.5342367	655.36346	649.62244	462.5	170.14896	53.444187	221.53485	-21.290304	4.393419	-0.42825845	2.42156	18.324432	-8.920702	-177.26068	0.39150664	0.035371643	0.45525542	0.33337483	-1.3479929	0.860889	0.66543543	5.380228	2.4437904e-06
9	9999	483.02456045150757	339.59415	14.448898	357.7884	317.7529	139.14285	387.52032	1.7164973	389.95776	384.22552	138.3	154.3105	47.060726	192.36673	-16.8105	2.4395897	-0.29694527	2.4300923	19.579838	-10.135899	-160.16771	0.28924426	0.023266155	0.33327138	0.25215954	-1.6038038	0.8676825	0.670438	5.8277726	1.3560057e-06
10	10999	579.320131778717	374.43094	126.565384	496.56772	89.90873	141.0	413.34735	1.4693046	415.5428	411.60016	160.5	153.58607	46.27114	189.77728	-19.416782	2.133122	0.11552742	2.531622	20.715317	-10.353632	-158.86496	0.22507982	0.014046985	0.25208914	0.20249322	-1.3118188	0.9035696	0.69681454	5.6327915	6.198883e-06
11	11999	674.6017322540283	448.18002	105.803825	636.181	355.34842	160.66667	199.47404	1.2058041	201.43427	197.22061	96.2	161.35968	49.47438	222.93925	-23.062202	2.9762251	0.68798023	2.605989	24.347454	-12.93219	-166.63266	0.18892157	0.00517998	0.20245202	0.18389922	-0.5125576	0.9472687	0.7340501	6.676404	2.6337802e-06
12	12999	770.9785571098328	733.8174	129.26656	950.6096	630.6751	235.0	566.97034	2.9488344	572.2077	562.2802	194.0	175.76402	53.583775	240.76942	-19.808249	3.042874	0.8729563	2.7854412	26.169249	-11.141547	-181.12897	0.17486724	0.0051903934	0.18388857	0.16854586	-0.21859476	0.9480744	0.75928307	6.611516	2.5331974e-07
13	13999	866.9851722717285	794.4113	63.246098	859.4692	725.3909	246.25	1084.6511	5.563439	1092.0632	1073.2085	323.3	191.9434	60.59554	252.1641	-22.253561	2.9769754	0.92865014	2.802601	25.796558	-11.75902	-197.46379	0.16903387	0.0033911902	0.17424414	0.16503584	-0.12642553	0.96783006	0.77892524	6.8133287	4.131347e-06
14	14999	966.2535648345947	1008.8671	19.687445	1034.4684	986.5889	303.0	3027.351	5.433084	3034.4277	3013.6182	1000.0	201.4317	62.294857	268.2399	-20.213171	2.6658678	0.96465945	2.8507314	26.525078	-12.192175	-206.80553	0.16381714	0.0027219176	0.16697252	0.15963347	-0.064140074	0.9613599	0.7846485	7.471616	2.2351742e-06
15	15999	1062.8031508922577	1119.1036	325.21802	1546.2268	757.8109	359.0	896.17285	1335.5757	2937.0398	14.703894	313.3	208.24612	62.95657	276.17645	-24.981915	2.4973128	1.0032418	2.8990197	27.650953	-11.611617	-213.36534	0.1618046	0.0012399519	0.16415595	0.15963218	0.0060095596	0.9511214	0.79342264	7.8844094	2.5629997e-06
16	16999	1160.7556555271149	2873.2764	0.0	2873.2764	2873.2764	1000.0	1722.6194	1429.7673	3273.319	26.27673	563.2	213.49576	62.728382	281.8265	-24.65642	2.2779126	0.9676415	2.9260013	28.41203	-10.6519165	-218.37189	0.1564108	0.0022121812	0.16020186	0.15307082	-0.05991474	0.93182826	0.7877101	6.9776587	2.2649765e-06
17	17999	1256.2366931438446	745.827	1232.7135	2880.7676	17.622427	235.0	303.6842	1.7110701	305.9347	300.8147	132.2	219.67041	62.84519	290.3483	-33.72302	2.8922951	1.0462098	2.9630218	31.736515	-12.516173	-224.35408	0.15375006	0.0028551512	0.16273305	0.15122885	0.08541781	0.9362213	0.796481	8.592284	9.536743e-07
18	18999	1355.5662956237793	1010.729	109.67554	1147.3804	871.6134	300.25	2622.7427	14.876525	2638.4707	2586.9973	1000.0	220.82066	67.385124	299.78528	-56.311096	2.8326645	1.021141	2.8646307	30.498928	-15.524091	-225.35965	0.16542107	0.000841824	0.1675699	0.16275772	0.03814444	0.9463143	0.79441714	9.10474	3.4570694e-06
19	19999	1455.294443845749	3213.974	0.0	3213.974	3213.974	1000.0	3357.6128	2.4674926	3364.0303	3355.1765	1000.0	225.13168	68.47903	307.55475	-34.536446	2.4609292	0.98305154	2.8446636	27.904842	-11.492185	-229.52489	0.16606314	0.0019529138	0.16908675	0.16317767	-0.030399583	0.93695986	0.79270035	8.811674	5.066395e-07
20	20999	1552.0100762844086	3284.7244	0.0	3284.7244	3284.7244	1000.0	1054.7094	4.560242	1061.3838	1049.212	316.6	233.01509	69.23883	315.52917	-50.857975	2.1963403	0.9774594	2.8419304	28.609936	-11.368717	-237.19446	0.16262199	0.00210331	0.16527352	0.1582783	-0.041102406	0.9394131	0.79321617	8.192023	2.5480986e-06
21	21999	1650.4041662216187	1097.4608	0.0	1097.4608	1097.4608	329.0	2135.0522	862.9467	2845.2703	933.0926	766.1	239.10829	70.95166	323.5462	-39.167397	2.192565	0.9840982	2.8451273	29.677834	-12.940761	-243.14491	0.15519318	0.00105244	0.15837306	0.15408483	-0.029433077	0.9209622	0.787157	8.380216	9.536743e-07
22	22999	1746.1359505653381	3187.2515	0.0	3187.2515	3187.2515	945.0	217.99686	1.597105	220.39285	215.69562	102.0	243.8387	72.66877	325.9627	-22.603424	2.0711427	0.9787313	2.796048	27.319826	-10.598535	-247.78642	0.15241794	0.002087062	0.15555269	0.14988591	-0.039962642	0.91451716	0.78206015	9.168397	2.2351742e-07
23	23999	1845.6312775611877	3050.6167	289.06592	3339.6826	2761.5508	903.0	2931.29	6.8700023	2945.741	2921.0745	1000.0	247.8898	72.78025	327.0287	-17.939938	2.1386437	0.988649	2.794193	27.61739	-14.023232	-251.68146	0.14971045	0.0011870358	0.15137388	0.14751036	-0.02156083	0.9173864	0.78680587	8.53178	1.3709068e-06
24	24999	1941.8386912345886	1340.9786	0.0	1340.9786	1340.9786	388.0	282.6766	8.471307	305.9465	275.9783	127.9	250.16678	73.75373	328.95624	-27.612043	2.0379941	1.0370897	2.7603478	29.716106	-10.525863	-254.00703	0.14991371	0.0025159933	0.15541172	0.1471592	0.07012588	0.91487265	0.7834878	8.1453085	1.7881393e-07
25	25999	2038.0476372241974	1569.4816	1364.8988	3343.9656	24.342958	470.66666	245.82352	1.1720107	247.90257	244.76877	104.3	253.70679	73.56529	331.79694	-18.727995	2.072704	1.0145603	2.746876	25.029972	-11.695865	-257.32312	0.15831676	0.0012150173	0.16003917	0.1554051	0.027028179	0.9135371	0.7775017	7.9401608	1.6540289e-06
