Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.1169350147247314	18.531794	9.892109	51.2227	6.696097	22.83721	47.272575	0.66995394	48.6391	46.31941	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.6087100505828857	20.151817	12.101919	65.203514	6.7891846	24.195122	47.272575	0.66995394	48.6391	46.31941	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	2.1365880966186523	17.428719	10.798082	63.36147	5.468231	21.723404	47.385536	0.84493065	49.07926	46.138054	50.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.69167423248291	18.014074	11.071851	50.493156	5.792627	20.6875	47.49043	0.9026875	49.102757	46.253006	50.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	3.3106415271759033	20.566559	16.361631	99.95171	5.1732616	23.32558	47.594963	0.88666356	49.293304	45.661358	50.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	108.08478617668152	161.48424	85.46059	317.90067	10.283395	82.545456	328.05762	1.1655265	330.19812	325.58313	150.1	94.21336	53.932693	184.92888	-18.666004	7.81938	-0.7888807	1.8260269	14.3473835	-9.97429	-100.551956	0.8826651	0.06320279	0.99970007	0.7763803	-0.20611575	0.8291686	0.6068224	4.373725	9.536743e-07
6	6999	211.28014945983887	224.75452	73.3997	302.73987	59.676674	103.6	67.64359	1.5396054	70.51769	66.39347	40.5	188.85759	51.923046	238.75635	-26.87639	14.472119	-0.36516052	2.2112582	18.406498	-10.083081	-198.55852	0.68447196	0.050405297	0.77617764	0.6008175	-0.51534754	0.8589109	0.64308983	4.850554	4.9620867e-06
7	7999	316.6882073879242	229.68471	62.151573	291.68192	115.49503	109.44444	343.62857	2.0050967	347.50583	341.34387	187.0	199.65536	60.445457	240.51407	-24.140322	10.308716	-0.2557537	2.3841944	20.231829	-12.43157	-208.76225	0.527933	0.040895663	0.6006585	0.45798403	-0.80732054	0.8655603	0.659106	5.488129	1.1026859e-06
8	8999	422.22178506851196	263.62003	97.85286	390.11157	97.102455	138.71428	420.02286	3.2142103	426.17603	415.1336	240.2	172.60062	55.50067	224.77458	-26.585897	7.7709365	-0.2779846	2.3697486	20.214935	-9.95653	-179.67297	0.39826015	0.033408623	0.45785487	0.34245297	-1.1828823	0.84437793	0.65562904	5.973961	3.9190054e-06
9	9999	525.3175065517426	230.13443	114.157585	412.56815	60.678757	110.5	213.72395	2.6653783	217.76886	208.70598	92.7	150.56831	41.24314	185.52554	-31.77162	4.2648206	-0.24728543	2.3312814	19.62352	-10.710697	-156.09131	0.29674038	0.025268804	0.34235236	0.25706348	-1.5147841	0.8218361	0.6485941	6.076892	7.4505806e-07
