Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.1126797199249268	18.500225	16.669497	111.7164	6.185877	21.911112	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	1.5300087928771973	17.70907	14.165849	67.205025	3.9594252	21.891304	60.742584	0.8712576	62.711597	59.419106	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	1.953401803970337	17.825142	22.95943	140.58832	5.134584	20.375	60.72522	0.67172784	61.81471	59.33523	53.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	2.367828130722046	15.418226	9.422609	55.177822	5.3764033	20.67347	60.627136	0.72425467	62.010853	59.745815	53.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	2.7974793910980225	19.112518	15.365239	93.06457	6.7504177	22.533333	60.7536	0.50940776	61.215862	59.76718	53.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	92.90326476097107	168.611	135.77371	405.40738	8.223521	94.888885	329.98337	1.8360714	332.31915	327.73325	171.4	90.01309	52.60538	179.6213	-30.503029	6.2753787	-0.7511726	1.8762614	11.252401	-9.565437	-96.41406	0.88299423	0.06267121	0.99970007	0.7790609	-0.19849391	0.847781	0.6188581	4.756722	1.5199184e-06
6	6999	183.40338516235352	295.45267	61.142006	375.22983	176.57	142.5	297.40085	1.9372358	301.31247	294.67603	122.2	185.12216	53.077244	244.43134	-35.532097	10.683372	-0.3487502	2.3836465	15.853325	-10.589042	-194.91618	0.68681264	0.05218468	0.77888376	0.6011386	-0.50724185	0.8998415	0.6739888	5.136432	1.3113022e-06
7	7999	274.1754775047302	228.69035	96.30202	353.4379	52.326023	98.8	122.390724	51.452023	202.03369	86.220505	62.2	210.99844	61.67944	260.75726	-26.228903	10.816539	-0.16409233	2.4692838	25.618023	-11.432738	-220.74342	0.530296	0.040410567	0.60098326	0.46422893	-0.7396996	0.91505504	0.69567364	7.8028164	6.556511e-07
8	8999	365.1709723472595	236.98026	113.75837	372.2928	58.93234	115.625	369.4472	0.73411894	370.2071	367.36273	205.9	198.1185	66.46286	261.09225	-34.1501	9.165002	0.059949804	2.4932332	21.261608	-10.515679	-206.72823	0.4145882	0.029111108	0.46413943	0.36371577	-0.83288264	0.9197958	0.7029151	6.5100846	1.7434359e-06
9	9999	2268.878235578537	386.78027	103.89607	537.41815	211.34525	215.2	23.08539	0.8826875	24.495667	21.657719	21.0	170.07773	57.065525	226.79628	-46.522484	5.106588	-0.026681159	2.442726	23.311935	-10.434511	-176.8226	0.3161322	0.025999932	0.36361575	0.27316487	-1.1843356	0.89140797	0.68209493	6.6992917	9.119511e-06
10	10999	2358.026062488556	155.30975	103.83905	306.79083	27.23335	76.61539	151.38547	5.039512	162.74947	146.39691	73.4	178.21547	41.224964	264.2904	-76.049736	38.44467	0.68423015	2.7510476	37.262547	-10.079335	-184.66417	0.255661	0.008629792	0.273082	0.24651147	-0.42497596	0.9929598	0.78483486	10.269052	3.8146973e-06
11	11999	2449.945887327194	234.25938	69.32081	327.85117	74.182785	100.0	321.99298	1.1206065	323.9968	320.4228	147.2	221.4877	50.298237	285.98862	-74.34171	19.470186	1.2763658	2.7084289	28.480911	-10.652492	-229.67738	0.2684559	0.011676508	0.28020117	0.24670309	0.37048194	1.0499263	0.78241074	9.254143	2.2724271e-07
12	12999	2539.9055902957916	288.17526	116.67463	442.75662	152.31982	165.8	343.94745	5.103615	351.56165	335.1319	156.0	207.96495	54.792175	284.83475	-44.095837	10.847416	0.6613856	2.8550978	22.450436	-11.301099	-214.85512	0.26007012	0.016247988	0.27901095	0.2256149	-0.46808764	1.002049	0.7775622	7.805091	1.847744e-06
13	13999	2628.825404882431	361.57553	115.13373	641.2553	294.15497	171.42857	308.96606	1.7462267	311.26544	306.01892	142.1	174.61087	49.79706	224.36801	-37.405117	4.996743	0.6515708	2.7218869	21.533289	-11.991009	-179.96803	0.19869594	0.011148984	0.22552948	0.18321994	-0.5541127	0.96992546	0.75317705	10.116007	1.4156103e-06
14	14999	2721.1810081005096	356.91434	24.500027	391.4103	323.60223	161.5	379.00067	4.498083	386.23322	372.1939	168.7	153.49615	49.761555	211.49379	-38.60231	3.2768955	0.5792886	2.7295847	24.273172	-9.95083	-158.01141	0.15972736	0.013861813	0.18318483	0.137975	-0.77423924	0.9790995	0.75507647	7.6993093	4.917383e-07
15	15999	2810.7903215885162	395.25793	22.493006	428.05225	359.50305	178.5	425.68872	3.2393868	429.5955	418.23407	184.6	140.30058	42.01102	180.18625	-28.85439	2.0086327	0.64015424	2.7187264	24.626804	-10.496199	-144.08864	0.12196257	0.009347095	0.13794094	0.10796598	-0.756579	0.9708399	0.7437288	6.360583	8.493662e-07
16	16999	2900.236889362335	374.15527	74.03347	434.68704	221.94766	159.5	501.78876	1.677868	505.02917	499.11652	194.3	141.20682	40.903152	178.17982	-14.075153	1.8244584	0.8585723	2.7020624	26.539555	-11.305128	-144.81403	0.10189273	0.0037440127	0.107950285	0.09603154	-0.32273048	0.9723669	0.7522365	6.638465	1.8179417e-06
17	17999	2984.9579153060913	395.7681	55.35671	484.39288	342.17706	159.66667	459.8305	1.8333985	462.3122	456.54437	178.0	143.27492	42.24647	180.15704	-23.921675	1.6699558	0.9710594	2.751675	30.338032	-12.653781	-146.76294	0.0942529	0.0010962433	0.09615698	0.092842184	-0.06819925	0.9799907	0.7630591	7.3163357	2.2724271e-07
18	18999	3068.373375892639	498.2394	16.474762	524.7842	475.00082	188.6	606.16907	1.95178	609.47284	603.36914	215.7	146.22502	42.712543	184.52164	-17.959648	1.5949837	1.0270978	2.735773	25.612175	-11.14398	-149.62746	0.0940619	0.0011183947	0.096487	0.092597134	0.063950025	0.9841703	0.7629107	7.5549955	1.0728836e-06
19	19999	4797.305847167969	585.6048	80.41375	729.8913	490.94843	214.4	0.7448505	0.080945246	0.856176	0.5852833	9.0	151.93053	46.549465	197.82683	-28.023165	1.7620219	1.1115673	2.7214453	25.983622	-12.088442	-155.34569	0.10361456	0.0049063545	0.1118563	0.0964672	0.25246358	0.9855504	0.77771	7.9486284	1.7881393e-06
20	20999	4877.037070035934	184.02943	148.24725	435.3952	-0.9978183	88.09091	141.26048	142.87997	427.94757	65.633	65.8	136.63545	40.02014	198.75243	-42.07349	14.400007	1.8420333	3.354932	41.27395	-11.749997	-140.02733	0.12838678	0.006496774	0.1402144	0.11194772	1.7509731	1.1384512	1.0082757	30.174631	8.940697e-07
21	21999	4957.917916536331	427.36743	222.98653	708.7961	60.248302	163.0	695.276	2.1722736	697.52295	690.5836	241.5	161.15804	52.77364	224.13904	-39.318882	5.43556	1.2697312	2.6265624	25.036537	-12.099731	-164.91647	0.15099263	0.003992507	0.15447308	0.14024408	0.5192648	1.0256436	0.7831914	8.047412	8.195639e-08
22	22999	5041.4496965408325	856.23773	64.790985	918.0776	766.7628	281.33334	689.2573	3.8839562	694.8126	684.622	228.5	165.08078	52.95182	233.03755	-36.0794	3.7316976	0.9683862	2.630474	23.945251	-11.283023	-168.664	0.15028751	0.0009676042	0.15194039	0.14873289	-0.059792314	0.96888477	0.7697822	7.9677463	2.965331e-06
23	23999	5124.703135728836	641.5606	202.86185	831.81604	260.95502	216.6	835.2096	3.7118108	840.1478	828.2153	269.4	173.13094	54.46235	247.63103	-37.48285	3.66274	1.0434582	2.6580098	25.534943	-13.843028	-176.7632	0.15295646	0.0017313667	0.15466493	0.14945571	0.08195321	0.988545	0.77965266	7.1560307	1.7434359e-06
24	24999	5207.022725343704	696.9768	298.77863	1069.2065	240.02133	228.25	892.5796	8.072435	903.6807	879.90607	289.7	178.5578	58.214787	256.40363	-42.15556	4.1110673	1.0063618	2.6402278	27.658047	-12.842226	-182.25877	0.15489346	0.0003619984	0.15553625	0.15408494	0.011896004	0.98628306	0.7820458	6.7395835	4.440546e-06
25	25999	5289.8287608623505	815.72754	140.42111	941.85803	585.6081	265.25	869.2684	4.2300057	874.59467	860.6338	271.6	181.75137	59.09807	254.6552	-42.73324	3.2160864	0.9920817	2.6658592	27.579767	-11.86367	-185.34381	0.15556036	0.00072295946	0.15682022	0.15375464	-0.014728059	0.9763435	0.7799996	7.836987	1.7881393e-07
26	26999	5373.424570322037	764.7423	310.89832	1093.705	253.82224	246.25	1261.5062	73.64474	1417.4727	1168.4272	379.5	185.54716	59.767265	268.004	-35.038143	3.007682	1.0083904	2.6384416	26.196663	-11.27124	-189.04228	0.15298168	0.0011297145	0.1559914	0.15157837	0.015708966	0.96503866	0.7783868	7.2294154	4.4703484e-07
27	27999	5457.28671503067	771.2161	293.0883	1140.3456	477.5127	255.0	1242.7783	35.391994	1348.1349	1225.7986	375.4	191.91278	62.300167	275.04074	-51.359997	4.4540095	1.0212985	2.6470804	27.218292	-12.114283	-195.51447	0.15907736	0.001767415	0.16110805	0.15579541	0.039288893	0.97163916	0.78005034	7.7790923	3.8146973e-06
28	28999	5541.049845933914	1107.0859	270.61755	1489.7328	909.69025	339.33334	1766.2836	11.422126	1782.7133	1747.4183	526.2	196.56847	63.76808	281.00592	-89.00539	3.40969	0.992074	2.6662621	25.788239	-11.415276	-200.1973	0.16130462	0.00097174617	0.1633362	0.15912408	-0.014456995	0.9662999	0.7878784	8.748893	2.188608e-07
29	29999	7477.586709737778	1788.2451	145.2204	1933.4655	1643.0247	539.0	6.4500685	0.12918875	6.648692	6.1856227	9.0	201.3806	64.832726	286.93475	-49.47051	3.260641	0.992563	2.638716	26.408035	-10.353003	-204.94507	0.15839362	0.000656569	0.15975632	0.15672383	-0.013662979	0.94922096	0.779873	7.6823444	2.9802322e-08
30	30999	7579.206170797348	410.3536	332.50613	871.4475	27.177975	155.33333	2971.8428	8.589805	2983.3506	2956.6995	1000.0	168.04556	58.81585	306.93585	-67.89509	20.064003	1.7702487	3.1521578	36.720123	-12.112911	-171.52332	0.1819606	0.010184949	0.20224681	0.15690582	1.3307139	1.1292585	0.9333954	22.579554	1.925975e-06
31	31999	7688.793201446533	3117.9849	0.0	3117.9849	3117.9849	1000.0	2930.0037	3.2336364	2938.7197	2926.599	1000.0	202.71931	67.1734	286.37625	-59.540756	8.318216	1.098581	2.5400577	30.085333	-11.8473015	-206.38942	0.2103446	0.0026864184	0.21287747	0.20228887	0.15577206	1.0254725	0.7963834	7.082111	1.9154686e-06
