Epoch	TotalEnvInteracts	Time	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	LossQ1	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AveragePreTanh	StdPreTanh	MaxPreTanh	MinPreTanh
0	999	1.1824109554290771	20.943867	23.54933	115.327065	4.116121	23.209303	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1999	2.256882429122925	22.335522	23.96433	124.374176	3.452838	23.714285	10.916295	0.04289338	10.998798	10.857935	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	2999	3.8614306449890137	15.133925	9.13861	52.619244	6.126275	19.96	10.970255	0.06488296	11.108696	10.902742	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	3999	5.977576732635498	18.134651	18.61323	116.574425	6.395498	22.044445	10.9312	0.030251013	10.998956	10.901944	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	4999	8.608097791671753	18.294903	20.980427	151.20201	6.8408637	20.645834	10.933294	0.069096416	11.0111685	10.803399	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	5999	113.86507964134216	173.77052	100.72082	351.1055	24.468658	90.0	318.6773	3.9824905	322.8086	309.43906	140.2	91.06759	52.32566	178.31761	-19.149136	7.8715334	-0.75294906	1.8939227	19.035118	-10.454847	-97.41716	0.8834621	0.06264315	0.99970007	0.77796566	-0.19969617	0.84523803	0.62750804	5.5539227	2.026558e-06
6	6999	218.77884531021118	257.06403	49.96437	317.03207	170.38458	122.875	326.78525	1.0172056	328.1076	325.83704	148.4	176.57703	51.600857	223.25235	-32.34901	10.456772	-0.39291012	2.407752	26.275814	-10.770574	-185.74736	0.684187	0.0523221	0.7777556	0.5972385	-0.5295071	0.8773933	0.676178	7.2809596	9.983778e-07
7	7999	326.97825145721436	321.2046	59.39598	392.1612	200.14711	172.33333	609.10254	3.3581333	614.3571	603.34503	449.9	178.22731	58.105938	224.33363	-31.39744	7.028224	-0.2970362	2.5569391	28.467266	-10.521104	-186.58359	0.52307826	0.041238423	0.59708285	0.4537488	-0.8440031	0.8598845	0.6830471	8.621526	3.7290156e-06
8	8999	432.62802839279175	398.50787	91.46613	512.3673	297.27954	231.0	300.117	1.7079259	303.04593	296.9528	124.0	158.81483	49.13685	208.06937	-32.595215	3.9989843	-0.38311154	2.5463471	27.354218	-8.964379	-165.35596	0.3926108	0.034280498	0.45362636	0.3354181	-1.302466	0.8374366	0.67770636	7.5915184	4.827976e-06
9	9999	539.2001502513885	303.51862	35.04464	343.77753	219.17143	136.0	318.75308	2.027497	321.63315	315.68155	145.3	146.8873	45.136696	183.1484	-32.733307	2.7402403	-0.36657944	2.5508714	28.473902	-9.620556	-152.266	0.29045826	0.024521401	0.33530918	0.24961941	-1.6942873	0.85774666	0.6843582	8.650453	4.7832727e-06
